Industry,Gender,Average_Salary
"I work in the finance function of a large global conglomerate",Woman,90000
"Video Game Industry",Man,90000
"Outsourcing Services",Man,90000
"Biotech/Drug Development",Woman,90000
"Educational Publishing",Man,90000
"Behaviour analysis/mental health",Woman,90000
"Industrial Hygiene",Woman,90000
"Communication Research",Woman,90456
Construction,Woman,90580
Aerospace,Woman,90666.66666666667
"Supply chain",Woman,90833.33333333333
"Medica education",Woman,90898
"social science research - not quite academia, not quite nonprofit, not quite consulting",Woman,91000
"Corporate Travel Industry",Woman,91000
"Agriculture/Agriculture Chemical",Man,91112
"Recruitment or HR",unknown,91130
"Medical research",Woman,91935
"Biotech manufacturing",Woman,92000
"Libraries (Medical)",Woman,92000
Consulting,Non-binary,92000
"Technical writing",Woman,92000
"Government and Public Administration",Man,92053.17977327933
"Education (early childhood)",Woman,92400
"Wholesale Distribution B2B",Woman,92400
"Executive Search",Woman,92500
"DoD Contracting",Woman,93000
"Supply Chain Operations",Woman,93000
Telecommunications,Woman,93167
Apparel,Woman,93333.33333333333
"Life Sciences",Woman,93449.2
"Education start-up",Woman,93600
"Government and Public Administration",Woman,93785.79920661154
"Marketing, Advertising & PR",Man,93869.59333333334
"Government Relations",Woman,93875
"Grant writing Consultants",Woman,94000
"Manufacturing (personal care)",Woman,94000
Biotechnology,Man,94700
"Pharmaceutical industry",Woman,94750
"Oil and Gas",Woman,94776.2
"Coffee - Importing",Non-binary,95000
"Video games",Man,95000
"Film Post-Production",Man,95000
"Consumer/Packaged Goods",Woman,95000
"Hardware Manufacturing",Woman,95000
"Software Development / IT",Non-binary,95200
Architect,Woman,95250
"Education (Other)",Non-binary,95567.2
"Medical Technology",Woman,96000
"Ed Tech",Woman,96000
"Medical Devices",Man,96000
Fundraising,Woman,96250
"Game development",Woman,96500
Aerospace/Aviation,Woman,96680
Entertainment,Woman,96785.63864
Technical/IT,Woman,97000
"Consumer Research",Woman,97000
Military,Woman,97000
"Media & Digital",Man,97198.08053691275
Faith/spirituality,Woman,97920
"In-House Marketing",Woman,97920
"Corporate sustainability",Woman,98000
"Industry unknown","Other or prefer not to answer",98000
"Accounting, Banking & Finance","Other or prefer not to answer",98148.75916666666
"Supply Chain",Man,98736
"Real Estate / Housing",Man,98762
Entertainment,"Other or prefer not to answer",99420.75
"Payment Processing",Woman,99531.6
Saas,Man,99580
"Information Technology",Woman,99952
"Government- Scientist",Woman,100000
"Govt contractor - not directly govt but they pay me",Woman,100000
"Biotech / Research",Man,100000
"Govt contractor - not direct govt but they pay my company who in turn pays me",Woman,100000
"Database subscription services",Woman,100000
Education/vocational,Man,100000
"Music, education",Woman,100000
"Education services (tutoring)",Man,100000
"Education: preschool",Woman,100000
Religion,Man,100000
"Art & Design",Unknown,100000
"Public Opinion Research",Woman,100000
"Haz/Ind/Rad Waste Management",Woman,100000
"Consulting Operations- Big 4",Woman,100000
"Government Contracting R&D",Woman,100000
"Cannabis compliance",Woman,100000
"Food and Beverage",Woman,100000
"digital commerce / ecommerce",Man,100000
"Manufacturing/Consumer Packaged Goods",Woman,100000
"wholesale distribution",Man,100006
Science/Biotech,Woman,100100
"Fundraising for a university",Woman,100440
"Renewable energy",Woman,100541.66666666667
"Research (health)",Woman,100640
"Urban Planning",Woman,100647.41333333333
"Internal Communications",Woman,100800
"Architecture and engineering consulting and design",Woman,101000
"Engineering or Manufacturing",unknown,101811.73333333334
Space,Woman,102000
"Contact Center",Woman,102000
Chemicals,Woman,102000
"Information technology (IT)",Woman,102000
"Government Research",Woman,102544
"Defence contracting",Woman,102833.33333333333
"Health care",Man,102879.1011897436
"Retail pharmacy",Woman,102924
"Synthetic Chemical Manufacturing",Woman,103000
Procurement/Sourcing/Operations,Woman,103000
"Corporate accounting in death care (funeral & cemetery)",Woman,103000
"Physical sciences",Man,103000
"Science publishing",Woman,103000
"Beverage & Spirits",Woman,103000
"political campaign",Unknown,103000
"Union/political organizing",Woman,103586
"Food and Flavour",Woman,104000
"Instructional Design and Training",Woman,104000
"Auto Mfg.",Man,104000
"Political Campaigns",Man,104000
Sales,Woman,104463.27199999998
Pharma/biotechnology,Woman,104500
"not-for-profit membership organization",Woman,104720
"Organized Labor",Woman,104748
"Contract Research",Woman,105000
"Food & Nutrition","Other or prefer not to answer",105000
"Beauty, Cosmetics, Fragrance",Woman,105000
Biotech/software,Woman,105000
"Sourcing & Procurement",Woman,105000
"Wine & Spirits",Woman,105000
"Government and Public Administration",unknown,105276.5
Insurance,"Other or prefer not to answer",105375
Biotech,Woman,105375.56521739131
Biotech/Pharma,Man,105500
Fintech,Woman,105833.33333333333
"Pharmaceuticals R&D",Woman,106000
"Early childhood education (preschool)",Woman,106000
"Private Equity",Woman,106500
"Real Estate",Man,106666.66666666667
Pharma,unknown,107000
Chemistry,Woman,107000
Restaurant/Service,Woman,107000
"Veterinary medicine",Woman,107160
"Bio tech",Woman,107250
Animation,Woman,107440
"Health care",Woman,107531.72973251533
"Environmental science",Man,107800
Distribution,Woman,108000
"Human Capital Management",Woman,108000
"Benefits Administration",Man,108000
Pharmaceuticals,Woman,108001.2576923077
Mining,Woman,108301.33333333333
"Politics/Government Relations",Woman,108500
"Government Contracting",Woman,108760
"Construction, mining, manufacturing",Woman,108800
"individual & family services",Woman,108800
Lobbying,Man,108800
"Skilled trade",Woman,108800
"Manufacturing (medical devices)",Woman,109000
"Chemicals/ Materials",Woman,109400
"Research/Social Science",Woman,110000
"Food/Quick Service Restaurant (QSR)",Man,110000
Intelligence,Woman,110000
Operations,Woman,110000
Bioinformatics,Woman,110000
"Archaeology/Cultural Resource Manager","Other or prefer not to answer",110000
"Computing/Tech + Higher Ed + Nonprofit",Non-binary,110432
Science/government,Woman,110500
Pharmaceuticals,Man,110833.33333333333
"Nonprofit scholarly society publisher",Woman,111000
"Life sciences (not in academia)",Woman,111000
Pharmaceutical,Woman,111219.07142857143
"International development (multilateral donor)",Woman,111360
Software,Woman,111425
"Real Estate Development",Woman,111500
"Property or Construction","Other or prefer not to answer",111800
defence,Woman,112051.16666666667
"Engineering or Manufacturing",Woman,112104.00014891774
Biotechnology,Woman,112341.31578947368
"Business or Consulting","Other or prefer not to answer",112488.88888888889
"Biomedical Research",Man,112500
"Oil & Gas",Woman,112988.18181818182
"Research and Development",Man,113000
"Health care","Other or prefer not to answer",113081.65454545454
"Tourism/Heritage -- but for a government building",Woman,113118
"Food & Beverage",Man,113500
Sales,Man,113522.52054794521
"Consumer Packaged Goods",Woman,113729
Biopharma,Man,114000
"Real estate software",Woman,114000
"Manufacturing (pharmaceuticals)",Woman,114240
"Food processing and packaging",Woman,114240
"B2B Services",Woman,115000
"National laboratory",Woman,115000
"Funding Intermediary",Woman,115000
e-comm,Woman,115000
"Private Sector Emergency Management",Woman,115000
"Research and Evaluation",Woman,115000
"Software Products",Woman,115000
Foodservice,Woman,115000
"Product Management",Man,115000
Law,"Other or prefer not to answer",115261.2
"State-level public transportation agency",Man,116000
"Education service provider",Woman,116000
"It security",Man,116000
"Transport or Logistics",Woman,116093.77400000002
"Research and development",Woman,116500
Law,unknown,116681.81818181818
"consumer product design",Man,117000
"Medical communications",Woman,117500
"Public Health Research",Woman,118000
"Education Consulting",Woman,118000
"Restaurants & Hospitality",Woman,118000
"Computing or Tech",Non-binary,118414.80818791948
"Medical Device",Woman,119500
Pharma,Woman,119994.71428571429
Psychology,Woman,120000
"Real Estate Affordable Housing",Woman,120000
"Energy (Oil & Gas)",Man,120000
"Storage Facility",Woman,120000
"Ecommerce fraud",Woman,120000
"Freelance/Self-Employed Consultant",Man,120000
Finance,Woman,120048
Mining,Man,120274
Procurement,Woman,120310
Training,Man,120632
"Labor Union",Woman,121250
"Aerospace contracting",Woman,122000
"Nuclear research",Man,122000
"Scientific research (industry)",Woman,122000
Automotive,Woman,122314.28571428571
Soldier,Man,122400
"Family Office",Woman,122500
Energy,Woman,122944.44444444444
"Education (Primary/Secondary)",Man,123085.6581081081
Sales,Unknown,123200
"Trades (Supply Chain) Oil and Gas",Woman,123977.6
"Pharmaceutical/Contract Research Organization",Woman,124000
"Educational publishing / ed tech",Man,124000
"Sign Language Interpreter, Community",Woman,124800
"Finance/Investment Management but in legal/compliance, so back-office",Woman,125000
Scientist,Man,125000
"Ecommerce - Technology",Man,125000
"Staffing Firm",Woman,125000
"Energy, Oil and Gas",Woman,125000
"Consumer Good (Toys)",Woman,125120
"Large University Administration",Woman,125120
"Healthcare IT",Woman,125360
"Federal Government Contracting",Woman,125500
"Pharma & Biotech",Woman,125760
Tech,Woman,126000
Biopharma,Woman,127000
"Animal health industry",Woman,127000
"Public Health, local government",Woman,127000
"Aerospace & defence",Woman,128000
"Social science",Woman,129000
"Biotechnology, Research and Development",Woman,129200
"Computing or Tech","Other or prefer not to answer",129649.89285714286
"Energy, Oil & Gas",Woman,130000
"Research & Development (Physical Sciences)",Woman,130000
"Consumer Goods",Man,130000
"Biotech R&D",Woman,130000
"Business or Consulting",Man,130036.28851315788
"Consumer Goods",Woman,130536.66666666667
"Science and Natural Resource Management",Woman,130560
Biotech,Man,130742.85714285714
"Beauty /CPG",Woman,131000
"Science Research, government",Woman,131000
Insurance,Man,131898.61111111112
Technology,Woman,133666.66666666666
Pharma,Man,133800
"User Experience (UX) Research",Woman,134000
"Product Management",Woman,134125
"Organizational Development",Woman,134776
"government contractor, international development",Woman,135000
Information,Woman,135000
"I have two jobs. Marketing / Business",Woman,135000
"Trade Association",Woman,135833.33333333334
Pharmaceutical,Man,136940
"Accounting, Banking & Finance",unknown,137941.66666666666
Biotech/Pharma,Woman,138111.11111111112
"International organisations",Woman,138720
Gaming,Non-binary,140000
"Global Health Consulting",Woman,140000
"Education research- mix of Edtech and non profits",Woman,140000
"Diversity, Equity & Inclusion",Woman,140000
"Professional Association in Finance",Woman,140000
"Waste Management",Woman,140000
"User Experience Design","Other or prefer not to answer",140000
"Computing or Tech",unknown,141158.36
"Consumer packaged goods",Man,141200
"Science - QC lab",Woman,141362.76
Consulting,Woman,141666.66666666666
"Affordable Housing Real Estate Development (nonprofit)",Woman,144200
"Supply Chain!",Woman,144656
Travel,Woman,145000
"Software Development",Woman,145000
"Consumer food products",Woman,145000
"Business or Consulting",Woman,145954.19287650601
Software,Man,146000
"consumer products",Woman,147000
"Drug development",Man,147000
"Accounting, Banking & Finance",Man,149282.34423493975
"Energy - Oil and Gas",Woman,150000
Strategy,Woman,150000
Biopharmaceuticals,Woman,150000
"Architecture, Engineering, Construction",Man,150000
Pharmaceutical,Non-binary,150920
Pharma/Biotech,Woman,151500
"Health and Safety",Man,153000
"Aerospace Manufacturing",Man,154500
Aerospace,Man,155000
Biotech/pharmaceuticals,Woman,156000
Internet,Woman,156650
Energy,Man,156751.83333333334
Law,Man,158107.42477876105
"Biotech pharmaceuticals",Woman,158168
"Pharmaceutical R&D",Woman,159450
"Pharmaceutical Development",Woman,159666.66666666666
"Biotech / Pharmaceutical Industry",Woman,160000
Pharmaceutical/Biotech,Woman,160000
R&D,Woman,160000
"Pharmaceuticals / Biotech",Woman,160000
"Agriculture or Forestry",Non-binary,160011.008
Analytics,Woman,162000
Law,Woman,162062.22949894294
"Oil and Gas",Man,162708.5
"Pharma R&D",Woman,165000
Pharma/biotechnology,Man,168000
"Environment - Oil and Gas",Woman,169728
"Renewable Energy Development",Man,170000
translation,Woman,172170.72727272726
"Engineering - Mining",Man,172720
"CPG / Retail",Woman,175000
"Research Scientist, Pharma",Woman,175000
"Government Relation",Woman,176800
Consulting,Man,178750
"Management Consulting",Woman,180000
"Pharma research",Woman,180000
"Real World Evidence (data for pharma research)",Man,181290
restoration,Woman,184000
"Pharma/ Research",Woman,185000
economics,Woman,187680
"pharma / medical device design and manufacturing",Woman,188000
"Pharmaceutical company",Woman,188000
"Science (Chemistry R&D)",Woman,189420
Technical/Cybersecurity,Woman,190000
"Government Affairs/Lobbying",Woman,190000
Software/programming,Woman,190000
Pharmaceuticals/Biotechnology,Woman,194000
"strategy consulting",Woman,195000
"Biotech / life sciences",Woman,196000
"Clean Energy (eg. energy efficiency, renewables, etc.)",Man,200000
Finance,Man,200000
"Saas company/software",Woman,217600
"not-for-profit health research consulting",Man,217600
"Big Pharma",Woman,220000
Medical/Pharmaceutical,Woman,220000
Petroleum,Woman,220000
"International Development",Woman,221875
Biotech/pharmaceuticals,Man,227000
Pharmaceutical/biotechnology,Woman,227500
"Accounting, Banking & Finance",Non-binary,248180
"Multilateral Organisation",Man,250000
"Energy (oil & gas & associated products, renewable power, etc)",Woman,253300
"Recruitment or HR","Other or prefer not to answer",256000
"Food & Beverage",Woman,258500
"Business or Consulting",Unknown,271263.14285714284
"Corporate Training",Woman,280000
"Biotech industry",unknown,292740
Sports,Man,300000
"Mining and natural resources",Man,308000
Geologist,Woman,353600
Scientist,Woman,393166.6666666667
Environment,Woman,395600
"Commercial Building Material Distribution",Man,400000
"Health care",unknown,426729.8461538461
Oil,Man,508482
Plumbing,Man,537300
"Biotech (R&D)",Woman,556200
"Education (Higher Education)",Man,739534.5504584719
Ipr,Woman,816000
"Education (Primary/Secondary)",Woman,881121.1950216801
"Media & Digital",Woman,891962.8561433448
"Computing or Tech",Woman,992617.7211629815
"Utilities & Telecommunications",Man,1097269.5378640778
"Energy / renewables",Woman,1115000
"Computing or Tech",Man,1398100.234090285
"Education (Higher Education)",Woman,1517248.723245357
"Social networks",Non-binary,2000000
"Recruitment or HR",Woman,2012167.655648193
"Marketing, Advertising & PR",Woman,2123268.184146905
"Engineering or Manufacturing",Man,2513671.029852941
"Utilities & Telecommunications",Woman,2711030.563453061
"Media & Digital","Other or prefer not to answer",3875083
"Leisure, Sport & Tourism",Non-binary,3927825
"Medical research",Man,4594200
"Accounting, Banking & Finance",Woman,5840806.244063425
Interpretation,Woman,7095200
Retail,Woman,7209389.960916891
"Industry unknown",Man,9297968.461538462
"Industry unknown",Non-binary,10000000
"Customer service",Non-binary,21850000
"ESL Teacher",Man,36000000
Entertainment,Non-binary,51484404.739999995
Entertainment,Man,61679385.93220339
"Marketing, Advertising & PR","Other or prefer not to answer",73601760
"Video Games",Woman,92180722.47999999
