Job_Title,Years_of_Professional_Experience_Overall,Total_Compensation
"Teacher (Elementary School)","5-7 years",54000
"Sales Engineer","21 - 30 years",270000
Accountant/Auditor,"21 - 30 years",60000
"Virtual Assistant, Webmaster","31 - 40 years",63300
"Application Developer","2 - 4 years",99000
"Accounts Payable Specialist/Cost Accountant","11 - 20 years",52000
"Lead Designer","11 - 20 years",70000
"Payroll Clerk","8 - 10 years",33050
"Academic Records Coordinator","8 - 10 years",54800
"Data Product Consultant","1 year or less",32000
"Registered engineer","11 - 20 years",103000
"Media Licensing Account Executive","5-7 years",35000
"Validation Engineer","2 - 4 years",112000
"Childcare site coordinator","11 - 20 years",38000
"Instructional Prof","11 - 20 years",102000
"User Experience Researcher","2 - 4 years",85280
"Art Teacher","21 - 30 years",104000
"Human Resource Manager","11 - 20 years",234280
"Document Review Attorney","11 - 20 years",50500
"Manager of New Technology Development","21 - 30 years",98000
"Case Manager","21 - 30 years",98560
"Reference Librarian","5-7 years",90000
"Senior Research Coordinator","5-7 years",61000
"Enrolment Coordinator","5-7 years",100541
"Executive Director of <technology and innovation buzzwords>","11 - 20 years",95920
"Senior Electrical Engineer","8 - 10 years",441000
"Broadcast Producer","5-7 years",86500
"Personal Assistant","11 - 20 years",496310
"Primary Teacher","11 - 20 years",20000
Prosecutor,"11 - 20 years",157000
"Lab Manager","21 - 30 years",180500
"Senior account manager","8 - 10 years",515510
"Personal Lines Account Manager","8 - 10 years",55500
"Structural Engineer","8 - 10 years",264000
"Corporate Investigator","5-7 years",68000
"Credit Review Officer","31 - 40 years",170000
"Business Systems Analyst II","8 - 10 years",93561
"Associate Executive Director","11 - 20 years",162500
"Finance assistant","11 - 20 years",93739
"GIS Coordinator","11 - 20 years",77293
"Project Associate","8 - 10 years",69205
"Integration Specialist","11 - 20 years",110000
"Biological Research Technician","1 year or less",43500
"Event Scheduler","5-7 years",61000
"Information Specialist","21 - 30 years",71000
"Associate Director of Grants and Proposals","8 - 10 years",52500
"Director of Digital Learning","21 - 30 years",93000
"HR Generalist II","11 - 20 years",63500
"Film/TV Teacher","31 - 40 years",96000
"Senior Research Fellow/Assistant Professor","5-7 years",41000
"Senior Instructional Designer","31 - 40 years",99000
"Product Owner, IT","2 - 4 years",97500
"Dir of HR/Payroll","11 - 20 years",55000
"Project Support Lead","11 - 20 years",38890
VP,"21 - 30 years",1179544
"Biological Science Technician","2 - 4 years",35265
"Communications Manager","21 - 30 years",454000
"Public Library Manager (Librarian III)","11 - 20 years",70451
"Outreach Services","5-7 years",52000
"Managing Principal","11 - 20 years",645000
"HR Manager","2 - 4 years",128320
"Email Marketing Specialist","8 - 10 years",138500
"Unit Clinical Coordinator","5-7 years",78700
"Scan Based Trading Analyst","5-7 years",51500
"Product Specialist","8 - 10 years",69000
"City Planner","8 - 10 years",158000
"Principal Mechanical Engineer","11 - 20 years",173000
"Prevention Supervisor","5-7 years",61000
"Manager Sales Strategy and Operations","11 - 20 years",132000
"Associate Director of Recruitment and Engagement","11 - 20 years",67800
"Director of Marketing and Development","5-7 years",55000
"District Manager","5-7 years",140000
"Business Intelligence Analyst","8 - 10 years",331488
"Town Clerk","11 - 20 years",78000
"Telematics Systems Engineer","2 - 4 years",82500
"Costume supervisor","11 - 20 years",130000
"Customer Service Manager","11 - 20 years",601580
"Marketing Pursuit Team Manager","31 - 40 years",110000
"In-house attorney","5-7 years",91000
"Principal Recruiter","11 - 20 years",261360
"Director, Marketing Technology","11 - 20 years",150000
"Securities Attorney","11 - 20 years",148000
"Strategic Sourcing Manager","8 - 10 years",117000
"Library Services Coordinator","8 - 10 years",120000
"Senior Policy Analyst","8 - 10 years",517317
"Data Management Team Lead","11 - 20 years",82500
COO,"11 - 20 years",755000
"Projects Coordinator","8 - 10 years",43000
"Development coordinator","11 - 20 years",161000
"QI & Planning Manager","2 - 4 years",65000
"Sales Solution Architect","11 - 20 years",71500
"Staff Assistant","11 - 20 years",208000
"Senior Manager, Learning & Development","21 - 30 years",110000
"Licensed Massage Therapist","21 - 30 years",50000
"Senior Scientist II","8 - 10 years",313686
"Legal Department Manager","41 years or more",100000
Instructor,"11 - 20 years",777758
"Payroll administrator","11 - 20 years",165200
"Director of media strategy/planning","8 - 10 years",125000
"Tutoring Coordinator for Literacy","21 - 30 years",41750
"Management and Program Analyst","11 - 20 years",131000
"Regulatory Operations Associate","8 - 10 years",96250
"Senior Accounting Manager","11 - 20 years",162000
"Accounting Consultant","11 - 20 years",147709
"Team lead","21 - 30 years",542282
Compensation,"11 - 20 years",46000
"Paediatric nurse practitioner","5-7 years",267000
"Director of Administration","11 - 20 years",165328
"Information Account Consultant","11 - 20 years",81500
"Director of HR & Operations","21 - 30 years",151000
"Associate General Counsel","11 - 20 years",1800200
"Development Officer","21 - 30 years",338120
"Regional Account Sales Coordinator","11 - 20 years",90000
"Faculty Manager","11 - 20 years",72750
"Senior Ecommerce Manager","5-7 years",133000
"Assistant service manager","11 - 20 years",210000
"Program Coordinator II","5-7 years",55000
Translator,"8 - 10 years",150700
"Admission Prospect Data Specialist","5-7 years",36000
"Director of Engineering","8 - 10 years",2026000
"Chief Legal Counsel","11 - 20 years",76350
"Team Capacity Development","21 - 30 years",66000
"SEO Specialist","5-7 years",89500
"Insurance/HR Coordinator","21 - 30 years",41641
"Project Leader","5-7 years",215500
"Associate Professor, Business Management","31 - 40 years",205000
"In-house Counsel","8 - 10 years",282000
"Legislative Assistant","5-7 years",49500
"Laboratory Technologist","21 - 30 years",74997
"IT manager","31 - 40 years",303664
"Senior Principal Research Associate","11 - 20 years",139000
"Senior Project Manager","21 - 30 years",830455
"Conference and Events Manager","11 - 20 years",65000
"Teacher with TLR","8 - 10 years",38000
"Digital Designer","8 - 10 years",90000
"Foreign Service Officer","5-7 years",207000
"Vice President, Analytics","8 - 10 years",31500
"Investment Comm Specialist","11 - 20 years",64000
"Librarian II - Adult Services Manager","11 - 20 years",51000
"Literacy teacher","11 - 20 years",82000
Therapist,"8 - 10 years",116000
"World Language teacher","11 - 20 years",69000
"contracts specialist","8 - 10 years",132000
"Senior Manager Commercial Finance","11 - 20 years",107000
"Accounting Specialist IV","21 - 30 years",68556
"Administrative information management specialist supervisor / ATIP coordinator","8 - 10 years",52000
"Program Supervisor","8 - 10 years",130000
"Staff Software Developer","11 - 20 years",180000
"Administrator IV","11 - 20 years",89000
"Director of Proposals","11 - 20 years",122000
"Customer Support Engineer","8 - 10 years",78000
"Sr. Development Coordinator","31 - 40 years",104000
"Library Technician I","5-7 years",32000
"Senior Consultant","31 - 40 years",145000
"Research Project Manager","11 - 20 years",138000
"Vice President of Administration","11 - 20 years",86000
"Housing Associate","2 - 4 years",27500
"Director of Asset Management","11 - 20 years",131000
"Assistant Controller","2 - 4 years",133100
"Postdoctoral associate","5-7 years",55000
"Content Marketing Manager","8 - 10 years",220000
"Technical editor","8 - 10 years",82000
"Digital Strategist","5-7 years",139975
"Senior Data Scientist","8 - 10 years",950000
"Systems Coordinator","21 - 30 years",91000
"Head of Department","8 - 10 years",44000
"Case manager","2 - 4 years",311900
"Business Analyst","2 - 4 years",1314100
"Software Developer III","21 - 30 years",200500
"Law Clerk/Staff Attorney","31 - 40 years",72000
"Assistant Supervisor","11 - 20 years",46400
"Chief Development Officer","21 - 30 years",92000
LPN,"21 - 30 years",73300
"Quality Assurance Engineer","11 - 20 years",217708
"Payroll Administrator","21 - 30 years",56160
"QA Engineer","5-7 years",75000
"Laboratory Manager/Medical Laboratory Scientist","11 - 20 years",84622
"Chief Compliance Officer/Operations Manager","31 - 40 years",127000
"Senior Mechanical Engineer","5-7 years",130000
"Education Support Professional","11 - 20 years",28200
"Medical Coding Team Lead","21 - 30 years",83000
"Agricultural Supply line Negotiating consultant","2 - 4 years",1160000
"Application Specialist II","21 - 30 years",72592
"Scrum Master","11 - 20 years",462000
"Scientific curator","11 - 20 years",76000
"Director, Foundations","11 - 20 years",110000
"Assistant Manager, Subsidiary Rights","11 - 20 years",54000
"Senior Manager, Events and Special Projects","21 - 30 years",73000
"Manager, Finance","11 - 20 years",84000
"professor (humanities area)","21 - 30 years",110000
"Language Teacher","5-7 years",40000
"Grants Administrator","8 - 10 years",237962
"Patent Agent","8 - 10 years",130000
"Assistant Director of Health & Counselling Services","21 - 30 years",60000
"Patient Care Technician","11 - 20 years",31000
"Senior Quality Manager","11 - 20 years",141600
Admin,"1 year or less",73900
Therapist,"5-7 years",184500
"Communications Associate","2 - 4 years",156000
"911 Dispatch","11 - 20 years",72612
"Brand Specialist","11 - 20 years",73000
"Content Team Manager","2 - 4 years",50000
"Disaster Preparedness Specialist","11 - 20 years",76250
"Part time school teacher/Part time Senior Education Officer","21 - 30 years",47000
"Heath care administration","8 - 10 years",30000
"Compliance Auditor","21 - 30 years",24500
"Technical product owner","8 - 10 years",63000
"Program analyst, managed money","8 - 10 years",52500
"Admin assistant","11 - 20 years",98650
"Receptionist / assistant","11 - 20 years",24900
"Events Manager","21 - 30 years",95000
"Director of Programming, Senior Editor","21 - 30 years",193500
"Senior Marketing Communications Specialist","21 - 30 years",85000
"Senior EHS Analyst","5-7 years",85000
"Patient care coordinator","11 - 20 years",46000
"Human Resources Administrator, Academic Department","21 - 30 years",86000
"Senior project manager","8 - 10 years",1054200
"Senior manager of sales","11 - 20 years",57000
"internal consultant","2 - 4 years",137000
"Chief Intellectual Property Counsel","21 - 30 years",237000
CEO/President,"21 - 30 years",113500
"Senior Associate Trial Attorney","8 - 10 years",127000
"Accounting Clerk I","8 - 10 years",39844
"Lead Civil Engineer","11 - 20 years",93500
"Quality Improvement Associate","5-7 years",43000
"Senior Assistant Librarian","8 - 10 years",69348
"Talent Acquisition Partner","11 - 20 years",77000
"Education Program Coordinator","5-7 years",45000
"Housing Programs Specialist","21 - 30 years",50100
"Director HR","11 - 20 years",248750
"Process Engineer","8 - 10 years",485000
"MRI Technologist","21 - 30 years",80000
"Head of Education","2 - 4 years",38500
"Judicial Clerk","2 - 4 years",80000
"Director of content strategy","21 - 30 years",150000
"Communications and Proposal Manager","11 - 20 years",75000
"Architect, Senior Project Manager","11 - 20 years",115000
"User experience","11 - 20 years",150000
"Senior Director of Operations","11 - 20 years",67000
Buyer,"8 - 10 years",303050
"Design Staff","8 - 10 years",58000
"Claims adjuster","8 - 10 years",142700
"Principal Business Systems Analyst","21 - 30 years",126000
"Environmental Organizer","2 - 4 years",46700
"Senior Service Technician","21 - 30 years",57000
"Instructional Technologist/Designer","8 - 10 years",78999
"Managing Editor","11 - 20 years",964040
"User Engagement Librarian","11 - 20 years",66681
"Franchise coordinator","2 - 4 years",47000
"Office Administrator/Bookkeeper","8 - 10 years",42000
"Programme Officer","21 - 30 years",73000
"IT consultant","11 - 20 years",421500
"HR Business Partner","5-7 years",359250
"Director of Stewardship","11 - 20 years",70000
Planner,"5-7 years",428976
"Chapter Lead Backend Development","11 - 20 years",90000
"Quality Engineer","2 - 4 years",647254
"Associate Professor & Academic Program Director","8 - 10 years",80000
"Associate Brand Manager","8 - 10 years",119000
"graphic designer 1","5-7 years",77500
Barista,"2 - 4 years",67360
"Customer Success Manager, Team Lead","5-7 years",131000
"Sports reporter","2 - 4 years",42000
"Senior project editor","8 - 10 years",43000
"Benefit Administrator","5-7 years",76000
"Town Clerk","5-7 years",38480
"Head of Teen Services","11 - 20 years",74000
"Scrum Master","31 - 40 years",219000
"Unit manager","8 - 10 years",122000
"System Architect","8 - 10 years",127900
"Content Strategist","8 - 10 years",169000
"Technical Account Manager","21 - 30 years",110000
"Cybersecurity Engineer","11 - 20 years",141000
"Senior Research Economist","5-7 years",62700
"Assistant Professor of Chemistry and Biochemistry","2 - 4 years",70000
"Software Engineer, Test II","5-7 years",102000
"Team Lead - Technical Writing","21 - 30 years",73000
"Govt Counsel","8 - 10 years",78000
"Principal Program Manager","11 - 20 years",797000
"Program Manager","31 - 40 years",522700
"Senior Business Systems Analyst","5-7 years",101895
"Head of administration","11 - 20 years",837000
"Support advisor","2 - 4 years",47500
"Internal Security and Compliance audit","21 - 30 years",180000
"Business Intelligence Associate","5-7 years",47500
"Legal Counsel","11 - 20 years",206000
"Outreach Specialist","8 - 10 years",50000
"hobby teacher","11 - 20 years",12160
"Senior Content Manager","11 - 20 years",173500
engineer,"11 - 20 years",1122324
"Resident Director","5-7 years",35000
"Chief Program Officer","11 - 20 years",115000
Controllers,"21 - 30 years",84200
"Development Specialist","2 - 4 years",57000
"Ceramics Teaching Assistant","11 - 20 years",35360
"Adjudication Specialist","8 - 10 years",69500
"Senior Administrator","11 - 20 years",55500
"Registered Nurse, Clinic","1 year or less",62000
"Senior Grants Specialist","11 - 20 years",105000
"Attending Physician (general internal medicine)","5-7 years",19000
"Records management team supervisor","11 - 20 years",127600
"Senior Marketing Strategy Analyst","5-7 years",121000
"Manager, Governance and Volunteers","11 - 20 years",79000
"Chief engineering","2 - 4 years",50000
"research scientist","2 - 4 years",835053
"IT Systems Administrator","41 years or more",108000
"Senior Customer Success Consultant","11 - 20 years",70000
"Director of Quaker Leadership","11 - 20 years",81700
Professor,"31 - 40 years",543000
"Human Resources Manager","31 - 40 years",166000
"Postdoctoral Fellow","11 - 20 years",120668
"Director of Online Learning","11 - 20 years",122000
"Research Specialist","5-7 years",124000
"Academic Administrator","11 - 20 years",54000
"Business Manager","5-7 years",212000
"PHP Developer","11 - 20 years",72500
CFO,"21 - 30 years",544009
"User Experience Designer","5-7 years",85000
"Trusts and Grants Manager","11 - 20 years",40000
"Director of Education","11 - 20 years",259500
"Associate Program Manager","2 - 4 years",47000
"Customer Service Manager","21 - 30 years",538240
"Supervising Attorney","11 - 20 years",172300
"Intervention Specialist","11 - 20 years",117000
"Commercial account manager","5-7 years",40200
"Senior Evaluation Manager","11 - 20 years",78000
"Full Stack Engineer","5-7 years",80000
"Mental Health Therapist","11 - 20 years",209611
"Retail Associate","2 - 4 years",20488
"Systems Engineer","2 - 4 years",845500
"Registered Nurse","11 - 20 years",1765530
"Associate In-House Counsel","8 - 10 years",122000
"Senior Corporate Counsel","21 - 30 years",192000
"Product Design","21 - 30 years",152500
"School social worker","8 - 10 years",54200
"Quality of Life Senior Supervisor","5-7 years",75795
"Associate Director, EEO","11 - 20 years",90000
"Behavioural Care Therapist","1 year or less",37500
"Energy Rater","2 - 4 years",54000
"Geo Services Employment","2 - 4 years",54000
"Product management - architect","11 - 20 years",175900
"Social Media Specialist","5-7 years",220500
"Appeal adjudicator","11 - 20 years",50560
"Expert Technical Writer","41 years or more",99000
"Coordinator of Instructional Technology","8 - 10 years",31500
"Order Analyst","5-7 years",54000
"Senior Customer Success Manager","8 - 10 years",299000
"Library Program Coordinator","21 - 30 years",52200
"Senior Officer","11 - 20 years",128000
Animator,"5-7 years",68000
"Education Coordinator","8 - 10 years",51000
"Associate Safety Officer","11 - 20 years",111000
"Sterile Compounding Technician","5-7 years",41500
"GIS Analyst","8 - 10 years",166377
Physician/hospitalist,"11 - 20 years",295000
"Medical Physicist","8 - 10 years",156500
"Annual Fund and Database Manager","11 - 20 years",52500
"Account Supervisor","2 - 4 years",192000
Archivist,"5-7 years",409062
Ecologist,"5-7 years",70000
"Underwriting manager","11 - 20 years",82800
"Regulatory Compliance Specialist","1 year or less",42000
"Business Services Supervisor","31 - 40 years",85600
"Director, Operations","11 - 20 years",234500
"Software Engineer for Safety Critical & Fault Tolerant Systems","5-7 years",96000
"Speech Language Pathologist","11 - 20 years",285500
"PR Specialist","2 - 4 years",49800
"Executive Assistant to elected officials","11 - 20 years",48000
"Digital & Design Manager","8 - 10 years",61500
"Business Intelligence Analyst / Team Lead","31 - 40 years",120000
"Scientist II","8 - 10 years",230000
"Deputy Executive Director","11 - 20 years",427125
"Market Research Analyst","2 - 4 years",45000
"Financial Advisor","2 - 4 years",28000
"Social Media Editor","2 - 4 years",127000
"Community Resource Coordinator","5-7 years",60000
"Civil Engineer","11 - 20 years",523520
"Communications Director","8 - 10 years",611000
"Director, Student Services","11 - 20 years",72000
Programmer,"1 year or less",18000
Marketing,"11 - 20 years",64000
"Donor Relations Manager","8 - 10 years",82125
owner,"21 - 30 years",102600
"Senior Accounting Director","11 - 20 years",140000
"Reference and Instruction Librarian","21 - 30 years",45000
"Branded Content Editor","5-7 years",71000
"Government Attorney","21 - 30 years",248000
"Agile Coach","21 - 30 years",166000
"People Operations Manager","8 - 10 years",231208
"Director of Special Education","11 - 20 years",69000
Consultant,"2 - 4 years",2066299
"Senior software developer (freelance)","31 - 40 years",156000
"Salesforce Consultant","8 - 10 years",99000
"Infectious Disease Physician Assistant","11 - 20 years",125000
Audiologist,"2 - 4 years",60000
"Organisational psychologist","2 - 4 years",77500
"Content Strategist","5-7 years",482000
"Key account manager","11 - 20 years",113000
"Structural Engineer","2 - 4 years",143600
"Technology Strategist","8 - 10 years",118000
"Project Portfolio Manager","8 - 10 years",96000
"Lead Financial Analyst","11 - 20 years",142668
"Lead Talent & Admin Associate","5-7 years",55500
"HR Generalist","21 - 30 years",394640
"Rotor Wing Inspector","8 - 10 years",42490
"Associate Research Scientist","11 - 20 years",105000
"Environmental Manager","21 - 30 years",400800
"Air Force Fighter Pilot","11 - 20 years",169000
"IT Lead","11 - 20 years",175625
"Associate Director of Human Resources","11 - 20 years",63400
"sr director","21 - 30 years",271000
"Lead Software Engineer","5-7 years",543139
"Associate Director of Financial Aid","11 - 20 years",90000
"Art Director","21 - 30 years",402500
"User Experience Lead","8 - 10 years",136400
"Development Assistant","5-7 years",98000
"Advice Caseworker","11 - 20 years",25000
"Facilities Engineer","11 - 20 years",90000
"Director, Business Strategy","8 - 10 years",160000
"Senior Design Professional","11 - 20 years",44000
"High School English Teacher","21 - 30 years",90000
"Director of Visitor and Community Engagement","5-7 years",43000
"Senior Account Executive","11 - 20 years",210500
"Store Associate Rx","2 - 4 years",28080
"Director, Event Operations","21 - 30 years",118000
"Litigation manager","31 - 40 years",135000
"Research Chemist / Training Supervisor","2 - 4 years",70000
"Manager of Digital Media Programming","11 - 20 years",89500
"Business Analyst-Specialist","11 - 20 years",118000
"Mortgage underwriter","21 - 30 years",100000
"Senior Business Analyst","31 - 40 years",196127
"Audit supervisor (cpa)","8 - 10 years",78000
ARNP,"11 - 20 years",142500
"Sr. Finance Manager","11 - 20 years",154958
"Salesforce Administrator","11 - 20 years",387600
"Senior Recruitment Consultant","8 - 10 years",75000
"Group Finance Manager","11 - 20 years",135000
"Digital strategist","8 - 10 years",62000
"Director, Learning & Development","11 - 20 years",90000
"Senior Reporter","11 - 20 years",36000
"Sr. Business Analyst","21 - 30 years",199000
"Quality control supervisor","8 - 10 years",34000
"Technical Support Level 2","31 - 40 years",56000
Publicist,"5-7 years",131600
"Activities Coordinator","8 - 10 years",34800
"Senior Associate","21 - 30 years",242000
"Tech Support Specialist","11 - 20 years",56000
"Outreach professional","21 - 30 years",36000
"Partner Marketing Manager","11 - 20 years",182000
"Assistant Professor of Education","11 - 20 years",109000
"Website Editor","21 - 30 years",83000
"Account Services Representative","5-7 years",42000
"Librarian (Dept. Head)","8 - 10 years",58000
"Fraud Analyst","8 - 10 years",55000
"Sr. UX Strategist & Designer","11 - 20 years",115000
"Employment Coach","11 - 20 years",50000
"Documentation and Community Manager","11 - 20 years",80000
"Regional Crown","11 - 20 years",157000
"Engagement Specialist","5-7 years",47600
"Proposal Specialist","11 - 20 years",61000
"Senior Brokerage Operations Coordinator","11 - 20 years",56000
"Senior Manager, Speech recognition","11 - 20 years",215000
"Production Manager","21 - 30 years",270000
"Technical Support Analyst","11 - 20 years",62000
"Digital Asset Manager","5-7 years",63000
"Ride Operator","2 - 4 years",31000
"Bookkeeper/HR Manager","21 - 30 years",57200
"Head of Collection Services","31 - 40 years",72000
"Grant Director","8 - 10 years",62000
"Volunteer Coordinator","21 - 30 years",39520
"Eligibility Specialist","1 year or less",38688
"EDI Analyst","2 - 4 years",52500
"Wholesale Account Rep","21 - 30 years",31000
"Sr. Accountant","11 - 20 years",100000
"Human resources assistant","8 - 10 years",29998
"Accounts Payable Clerk","2 - 4 years",42000
"Grant Coordinator","8 - 10 years",54000
"5th grade teacher","8 - 10 years",50000
Auditor,"31 - 40 years",239000
"Technical Implementation Manager","21 - 30 years",109000
"Associate Engineer","2 - 4 years",63200
"NetSuite Analyst","8 - 10 years",62000
"Associate Merchant","11 - 20 years",69400
"Senior Buyer","11 - 20 years",52000
Copywriter,"11 - 20 years",503300
"Executive Staff Assistant","5-7 years",63750
"Bioprocess Associate","5-7 years",65000
"Museum Curator","8 - 10 years",65000
"Production coordinator","8 - 10 years",112000
"Registered Nurse","1 year or less",234580
"Audit Trainee","8 - 10 years",23000
"Operations Research Analyst","5-7 years",247330
"Multimedia Producer","2 - 4 years",42000
"Quarantine Care Team Coordinator","2 - 4 years",40000
"Audit Consultant","11 - 20 years",172000
"Litigation paralegal","2 - 4 years",53000
"Retail crew","11 - 20 years",31600
"Mental Health Coach","11 - 20 years",51079
"Assistant Professor of English","2 - 4 years",44750
"Sr Reservoir Technologist","11 - 20 years",138500
"Teaching Assistant","21 - 30 years",72548
"Chief Marketing Officer","21 - 30 years",505000
"AEROSPACE ENGINEER","41 years or more",120000
"intern software developer","1 year or less",80000
"Collections Associate","2 - 4 years",42000
"Sr Analyst, HR Technology","5-7 years",99000
"Production Manager","5-7 years",117000
"Office Associate Senior","8 - 10 years",29078
"Specialty doctor","11 - 20 years",70000
"Research Librarian","8 - 10 years",174500
VP,"5-7 years",155000
"Church Administrator","11 - 20 years",37500
"Human Resources - Employment Coordinator","21 - 30 years",35000
"Kinship and Adoption Navigator","1 year or less",35360
"Managing Economist","8 - 10 years",230000
"Art Director","2 - 4 years",49600
"Copywriting Supervisor","8 - 10 years",49500
"Education Coordinator","2 - 4 years",50000
CTO,"21 - 30 years",1160000
"Sr. Content Designer","21 - 30 years",135000
"Development Officer","11 - 20 years",443400
"Senior Editor II","11 - 20 years",97000
"Teacher 6-8 English as a Second Language ","8 - 10 years",49008
"Assistant Professor of Economics","8 - 10 years",100000
Epidemiologist,"5-7 years",515120
"Pricing Analyst","11 - 20 years",37500
"Senior Multimedia Designer","11 - 20 years",84000
"Health Program Administrator 1","8 - 10 years",75000
"Research Associate","8 - 10 years",461322
"Senior Manager, User Experience","31 - 40 years",210000
"Lead Collection Development Librarian","11 - 20 years",68000
"Adjunct instructor","11 - 20 years",147750
"Freelance writer","21 - 30 years",185000
"Fiscal Assistant","8 - 10 years",35000
"Assistant professor","21 - 30 years",258500
"Processing archivist","5-7 years",35000
"Senior Content Strategist","11 - 20 years",329520
"Immigration Paralegal","2 - 4 years",62000
"Volunteer Training Manager","5-7 years",46000
"Assistant Library Director","11 - 20 years",125000
"Staff Accountant","41 years or more",40500
"Senior AML Manager","5-7 years",700000
"Clinical Research Coordinator","11 - 20 years",195500
"Project Director","11 - 20 years",159000
"Media specialist","8 - 10 years",86500
"Early Years Practitioner","8 - 10 years",10000
"Senior Copywriter","41 years or more",105000
"Lower School Science Teacher","11 - 20 years",92000
"Media Buying Director","8 - 10 years",68000
"senior executive search consultant","5-7 years",94500
"Human Resources Manager","5-7 years",135500
"Senior Research Assistant","5-7 years",147000
"Adult Services Librarian","11 - 20 years",149000
"Senior Operations Associate","11 - 20 years",118230
"Community Director","2 - 4 years",177741
"Chapters & Conferences Liaison","21 - 30 years",57000
"Digital Merchandising Coordinator","2 - 4 years",50000
"Cloud Architect","21 - 30 years",182000
"Assistant Professor (Biology)","5-7 years",110000
"Creative Services Specialist","8 - 10 years",72077
"Senior Analytics Consultant","5-7 years",87000
"Librarian 4","21 - 30 years",64000
"Scientist II","2 - 4 years",95000
"Lead audio engineer","11 - 20 years",177000
"Intake Manager","11 - 20 years",140000
"Marketing assistant","5-7 years",4789150
"Aggregation Quality Analyst","5-7 years",63120
"Associate Publications Specialist","5-7 years",45750
Geologist,"5-7 years",263800
"Policy Analyst","11 - 20 years",861790
"Sr Customer Service Lead","8 - 10 years",47840
"Admin Management Coord","11 - 20 years",44640
"Programmer Analyst","31 - 40 years",56800
"Executive Secretary","11 - 20 years",60777
"Buyer 3","31 - 40 years",76147
"Sales and Marketing Manager","8 - 10 years",48000
"TRUST Operations Specialist","11 - 20 years",37800
"Senior Artist Manager","11 - 20 years",42000
"Staff Scientist","2 - 4 years",63150
"Planning Process Coordinator","21 - 30 years",45500
"Strategic consultant","5-7 years",97000
Detective,"8 - 10 years",89200
"Assistant Professor, Clinical Teaching Track (NTT)","21 - 30 years",67000
"Lead Analyst, Supply Chain Information Systems","8 - 10 years",124320
"Senior Copywriter","5-7 years",85300
"Quality Assurance","2 - 4 years",49000
"Regulatory Affairs","5-7 years",90000
"Business Analyst FP&A","5-7 years",73700
"Undergraduate Administrator and Administrative Coordinator","8 - 10 years",65000
"Site Reliability Engineer","8 - 10 years",495000
"Research Director","31 - 40 years",104000
"Data Quality Analyst","21 - 30 years",146300
"Teaching Fellow","2 - 4 years",36000
"Manager, Editorial Operations","11 - 20 years",72584
"Recruitment Consultant","5-7 years",37000
"Metadata Management Librarian","11 - 20 years",62000
"Brand Marketing Manager","8 - 10 years",110000
"Billing Specialist","8 - 10 years",73840
"Director of Creative Strategy","8 - 10 years",108000
"Librarian I","8 - 10 years",58493
"External Relations Coordinator","31 - 40 years",71500
"PR Manager","8 - 10 years",146206
"Association Solutions","21 - 30 years",47000
"Grants Administrator","5-7 years",117000
"Accounting Analyst","8 - 10 years",82500
"Operations Research Analyst","2 - 4 years",105190
"Sessional instructor","11 - 20 years",45000
"Office Manager and HR Generalist","8 - 10 years",85750
"People and Culture Coordinator","8 - 10 years",63500
"Deputy Research Director","5-7 years",69000
"After School Program Leader","8 - 10 years",27000
"Plumbing - parts and purchasing","8 - 10 years",39820
"SEO Supervisor","8 - 10 years",85000
"GIS Data Specialist","11 - 20 years",90000
"Associate Director, Individual Giving","11 - 20 years",100000
"Director, Technology Recruiting","11 - 20 years",285000
"Tax Supervisor","11 - 20 years",88500
"Emergency RN","11 - 20 years",120000
"Prospect Research Analyst","11 - 20 years",150000
"Senior Content Writer","11 - 20 years",69000
"Clinical project manager, clinical trials","21 - 30 years",208000
"Financial Reporting Manager","11 - 20 years",199000
"Middle School History Faculty","21 - 30 years",76052
"Staff underwriter","11 - 20 years",83000
EA,"21 - 30 years",33000
"Rooms Controller","21 - 30 years",27000
"Data Associate","8 - 10 years",58000
"Senior planner/ buyer","11 - 20 years",82500
"Program Assistant 3","11 - 20 years",90437
"Demand Forecaster","2 - 4 years",91800
"Program Leader","8 - 10 years",36088
"Graphic designer and web poster","5-7 years",56350
"Data Entry Associate","5-7 years",36000
"Technical Director","11 - 20 years",531200
"Research specialist","8 - 10 years",235000
"Sr Communications Specialist","8 - 10 years",80000
EA,"8 - 10 years",261500
"Senior Producer","11 - 20 years",487500
"Senior Consultant I","8 - 10 years",71000
"CAD Design Manager","21 - 30 years",110000
"Software Engineer","31 - 40 years",737600
"Account Manager","31 - 40 years",82830
"Professional Research Assistant","8 - 10 years",37000
"Senior International Relocation Coordinator","8 - 10 years",60500
"Head of Business Support","21 - 30 years",50000
"Student Services Coordinator","8 - 10 years",117785
"Assistant District Attorney","11 - 20 years",212000
Paralegal,"31 - 40 years",410500
"Service Sales Manager","11 - 20 years",220864
"Principal product engineer","21 - 30 years",125000
"User experience researcher","11 - 20 years",190000
Driver,"31 - 40 years",34000
"Manager, Advertising Operations","11 - 20 years",137500
Seamstress,"21 - 30 years",52000
"Cyber Security Engineer","5-7 years",79000
"Senior Enrolment Advisor","8 - 10 years",85000
"Digital Asset Manager","11 - 20 years",70000
"Senior Product Manager - Smart/IoT","11 - 20 years",150000
"Guest Services Associate","11 - 20 years",50000
"Bioprocess Engineer","2 - 4 years",85591
"Sales Coordinator","1 year or less",38440
