City,Industry,Average_Salary
"Watertown (Greater Boston area)","Computing or Tech",90000
Shorewood,"Government and Public Administration",84000
Trenton,"Government and Public Administration",103250
Laurel,"Engineering or Manufacturing",125000
?stanbul,Translation,72
Cumming,"Computing or Tech",82500
Birmingham,"Data Analytics",55000
"New York","Luxury Fashion",68000
"DC metro area",Clergy,108150
Denver,"Data Entry",31000
"Remotely in NC for DC employer",Nonprofits,63000
Winnipeg,Sales,79560
"Rural town","Education (Higher Education)",89000
"New York",Translation,75000
Eugene,"Property or Construction",31680
"Lansing, MI","Government and Public Administration",65000
Forest,"Engineering or Manufacturing",46000
Charlottesville,"Marketing, Advertising & PR",83200
Savannah,"Accounting, Banking & Finance",63803
"Cedar Rapids",Retail,38000
Chilliwack,"Marketing, Advertising & PR",112880
"Los Angeles","Recruitment or HR",62333.333333333336
Brussels,Insurance,48664.32
Mission,"Business or Consulting",24000
"San Jose","Education (Primary/Secondary)",110256.33333333333
Williamsburg,"Health care",66500
Barcelona,Nonprofits,31464
Everett,"Utilities & Telecommunications",113666.66666666667
"Twin Cities",Retail,90000
Alexandria,Insurance,41447
Utrecht,"Engineering or Manufacturing",40553.6
Sheffield,"Wholesale and retail trade",18450
Manchester,E-commerce,36900
Thessaloniki,"Engineering or Manufacturing",19577.6
"Santa Barbara","Computing or Tech",78300
"Evanston, IL","Computing or Tech",72613
Sandpoint,"Health care",27040
Woodstock,Law,106000
Barcelona,"Computing or Tech",41762
"Des Plaines","Education (Primary/Secondary)",432000
Urbana,"Education (Higher Education)",66970
Binghamton,"Education (Primary/Secondary)",63000
"Ontario mid-size","Oil & Gas",190400
Houston,"Leisure, Sport & Tourism",54700
Vancouver,Biotechnology,176800
"Grand Rapids","Education (Primary/Secondary)",34000
Tucson,"Government and Public Administration",34000
Atlanta,"Recruitment or HR",61416.72727272727
"Grand Prairie","Education (Primary/Secondary)",58000
Richmond,"Education (Primary/Secondary)",89900
"Traverse City","Food processing",62000
"San Luis Obispo","Government and Public Administration",66500
Buffalo,"Hospitality & Events",40000
Gaithersburg,"Public Libraries",65083
"Manchester, England","Computing or Tech",28044
Exeter,"Education (Primary/Secondary)",51076.5
Columbus,"auto repair",31200
"New York","Hospitality & Events",91472
Heilbronn,"Education (Primary/Secondary)",34960
"mt arlington",Retail,24960
Georgetown,Nonprofits,73000
Springfield,"Marketing, Advertising & PR",100000
Appleton,Nonprofits,72500
"High Point","Education (Higher Education)",36720
Regina,"Government and Public Administration",123547.5
Brooklyn,"Health care",114250
"New Glarus","Leisure, Sport & Tourism",58000
Lamham,"Government and Public Administration",60320
Toledo,Law,90500
"Grand Rapids",Nonprofits,51500
Tornto,"Agriculture or Forestry",108800
"San Juan","Computing or Tech",80000
Virtual,"Computing or Tech",81100
Vancouver,"Social Work",95200
Trenton,"Media & Digital",70500
Chicago,"Architectural/Land Planning/Civil Engineering",53500
Anchorage,Law,116666.66666666667
Groveland,Nonprofits,93750
"Greater Atlanta Area","Government and Public Administration",46000
Chicago,"Gaming (Gambling)",72000
Westminster,"Government and Public Administration",43974
"Waltham (suburb of Boston)","Education (Higher Education)",57400
Exeter,"Health care",81180
Wichita,"Real Estate",70000
Pensacola,Retail,60000
Hartford,"Property or Construction",28500
Unknown,"Regulatory Affairs- nutraceuticals",70980
Kennewick,"Manufacturing : corporate admin support",70000
"Kansas City","Real Estate Investment Support",63000
Boston,"Government relations",68000
Lexington,"Transport or Logistics",29250
Sacramento,"Property or Construction",97000
"Downers Grove",Nonprofits,80000
Bothell,"Leisure, Sport & Tourism",36962
Mason,"Computing or Tech",57070
"Baltimore metro region, MD","Education (Higher Education)",53000
"Crown Point","Health care",65000
"London / Remote","Marketing, Advertising & PR",57379.5
Lawton,"Education (Higher Education)",44800
Rochester,Law,125666.66666666667
Seattle,"Household Services",62400
Many,"Health care",144333.33333333334
"Halifax, NS","Health care",68000
"West Warwick","Utilities & Telecommunications",63000
arlington,Insurance,60000
dublin,"Accounting, Banking & Finance",66115.04166666667
"West Chester","Property or Construction",47840
Tucson,"Computing or Tech",101000
Madison,"Health care",68659.7
Newtown,Nonprofits,89600
Corvallis,"Computing or Tech",95666.66666666667
Toronto,"Agriculture or Forestry",54400
Dallas,"Pharmaceutical Development",75000
Tempe,"Transport or Logistics",41000
Dallas,Retail,58693.333333333336
"Detroit Metro Area","Recruitment or HR",110000
"Arlington Heights","Accounting, Banking & Finance",60000
Burlington,Nonprofits,49443
Redding,"Engineering or Manufacturing",80000
Lincoln,Law,121000
Herndon,"Engineering or Manufacturing",148560
Málaga,"Computing or Tech",12585.6
Chandler,"Education (Higher Education)",69355
"Ellensburg, WA","Education (Higher Education)",52776
Omaha,Retail,38250
Remote,Insurance,100400
Poughkeepsie,"Computing or Tech",138000
Barcelona,"Engineering or Manufacturing",52440
Rockville,Entertainment,70000
"Peace River","Government and Public Administration",110160
Denmark,"Engineering or Manufacturing",600000
Milwaukee,"Academic publishing",30000
Regina,"Engineering or Manufacturing",116076
Redmond,"Health care",38000
Chantilly,Nonprofits,58650
Unknown,Library,67250
Newton,"Computing or Tech",57500
Perrysburg,"Engineering or Manufacturing",42000
Winton,"Government and Public Administration",84700
Renton,"Engineering or Manufacturing",109900
Brentwood,"Education (Primary/Secondary)",55232
Emporia,"Education (Higher Education)",64197
Carlsbad,"Accounting, Banking & Finance",62400
Melbourne,"Health care",162551.9
Palmyra,"Education (Primary/Secondary)",38660
Kent,"Marketing, Advertising & PR",45000
"Fort St. John, a small town of about 20K in Northeast British Columbia, Canada",Retail,44270.72
Lyons,"Professional training",20976
Paris,Entertainment,51566
Exton,"Pharmaceutical Manufacturing",76000
Bridgeport,"Education (Primary/Secondary)",52903
Palermo,Nonprofits,14924.424
"Manasquan, NJ","Art & Design",75000
Jackson,"Government and Public Administration",53000
"Falls Church, VA","Business or Consulting",77600
Oslo,"Education (Higher Education)",586500
Durham,"Engineering or Manufacturing",73706
Dallas,"Clinical Research",58500
"Remote work in CA, company is in WA","Engineering or Manufacturing",114400
"Milwaukee, WI","Marketing, Advertising & PR",43000
"Aliso Viejo","Veterinary medicine",34000
Launceston,"Health care",163240
"St Helier, Jersey, Channel islands","Government and Public Administration",22878
"Cleveland, Ohio","Government and Public Administration",77895
Annapolis,"Health care",86000
"Chicago metro","Government and Public Administration",33560
Durham,"Media & Digital",54000
Melbourne,Insurance,151690
"Chapel Hill","Business or Consulting",72500
Doylestown,Law,60000
Mobile,"Engineering or Manufacturing",166000
Cambridge,Publishing,88750
SHIRLEY,"Accounting, Banking & Finance",143000
"Las Vegas",Law,151500
Moorhead,"Education (Primary/Secondary)",48750
Beijing,"Education (Primary/Secondary)",260000
Auckland,"Accounting, Banking & Finance",237673.33333333334
"This would definitely reveal my identity",Nonprofits,40000
Aurora,Nonprofits,57000
Gardiner,"Property or Construction",43680
Springfield,"Accounting, Banking & Finance",60233.333333333336
Houston,Software,160000
Ogden,"Education (Primary/Secondary)",72000
"Brighton, MI","Environmental Consulting",52000
Pittsburgh,"Property or Construction",73993
Chattanooga,Nonprofits,40881
Manhattan,"Recruitment or HR",45000
Stafford,"Utilities & Telecommunications",28413
Nyack,Veterinary,25000
"Nashville Metro Area","Government and Public Administration",92000
Columbia,Library,29250
Christchurch,"Health care",106773.33333333333
"DC metro area, mostly DC and Montgomery County MD","Social Work",53000
Cambridge,"Contract Research",105000
"Winston Salem","Accounting, Banking & Finance",44850
Brisbane,"Education (Higher Education)",169143.33333333334
"St. Paul","Grocery Distribution",52532
Sudbury,Nonprofits,48000
Weymouth,"Engineering or Manufacturing",19557
Covington,"Education (Primary/Secondary)",41000
Rochester,"Property or Construction",77940
Kabul,Nonprofits,30258
"Boston area","Computing or Tech",111050.33333333333
Albemarle,"Government and Public Administration",62000
Glenview,"Accounting, Banking & Finance",112500
"St Paul","Agriculture or Forestry",125000
"Milwaukee metro","Education (Primary/Secondary)",36000
Galway,"Agriculture or Forestry",72542
Boston,Biotech,132600
Minneapolis,Publishing,50000
Kettering,Nonprofits,30000
Hilo,"scientific research",54000
Ireland,Nonprofits,27531
Moline,"Social Work",52000
"prefer not to say, identifiable information when combined with my job title","Health care",88655.68
"Harrisburg Region","Government and Public Administration",48230
Honolulu,Nonprofits,46140
Orlando,"Engineering or Manufacturing",82333.33333333333
Marietta,"Health care",109905
Munich,"Computing or Tech",64355.53333333334
Hüttigweiler,"Health care",24472
"Costa Mesa","Education (Primary/Secondary)",88000
Danbury,Retail,45000
NYC,"Tailoring Service",35360
Portsmouth,"Accounting, Banking & Finance",42000
"Coeur d'Alene","Health care",66000
"St. Louis, MO",Law,185000
Wayzata,"Agriculture or Forestry",67000
"Carson City",Law,99250
"Winchester, UK",Nonprofits,19557
Christchurch,"Education (Higher Education)",102362.26000000001
"San Antonio","Utilities & Telecommunications",90000
Chanhassen,"Computing or Tech",85000
Wellington,"Government and Public Administration",152172.405
Penticton,"Education (Higher Education)",53040
Kennesaw,"Education (Higher Education)",40768
Tulsa,Law,70686.66666666667
Westbrook,"veterinary biotech",89000
Eindhoven,"Computing or Tech",50080.2
Kent,"Computing or Tech",65000
Albuquerque,"Accounting, Banking & Finance",61333.333333333336
"Hod Hasharon","Computing or Tech",240000
Colville,"Social Work",70000
Concord,"Utilities & Telecommunications",155250
"rapid city","Education (Higher Education)",60350
"Near LA","Education (Higher Education)",78000
Bedminster,Biotech/Pharma,175000
Windsor,"Small business/service company",41000
"Kansas City","Biotech Research",48500
Toronto,"Social Work",61261.88
"San Mateo","Computing or Tech",120208.33333333333
"Salt Lake City","Property or Construction",48000
"San Diego","Hospitality & Events",64779.333333333336
Edmond,Retail,43000
Toulouse,"Computing or Tech",39330
Dalton,"Education (Primary/Secondary)",32000
Imperial,"Utilities & Telecommunications",99400
Irving,"Information services (library)",35172
"Washington, DC","Marketing, Advertising & PR",191266.66666666666
London,Insurance,92992.5
Frederick,"Education (Primary/Secondary)",35500
"Frankfurt a.M.","Computing or Tech",62928
Atlanta,Insurance,91158.75
Düsseldorf,"Accounting, Banking & Finance",63583.5
Newcastle,"Social Work",115500
"Houston area","Government and Public Administration",81000
Biddeford,Retail,36400
"Minneapolis-St. Paul",Nonprofits,42500
Brainerd,"Education (Higher Education)",46000
Groton,"Computing or Tech",120000
"Clarendon Hills","Education (Primary/Secondary)",32000
"Philadelphia suburbs","Engineering or Manufacturing",150000
Cerritos,"Food Service",29000
Batesville,Law,85000
Aiken,"Engineering or Manufacturing",146500
Louisville,"Stay-at-home parent",0
Newport,"Education (Higher Education)",127000
"Boulder but we are remote",Nonprofits,162000
Denver,"Real estate software",114000
Canberra,Construction,178640
"New York City","Commercial Building Material Distribution",400000
Framingham,"Engineering or Manufacturing",113000
Carrollton,"Health care",50060
Logan,"Recruitment or HR",80000
Novi,"Education (Primary/Secondary)",56000
Brooklyn,"Education (Higher Education)",115250
Mellbourne,"Health care",128590
Shelton,"Consumer Product Organization",85000
"Silver Spring","Computing or Tech",122500
"New Orleans","Engineering or Manufacturing",152500
Buckinghamshire,"Education (Primary/Secondary)",21711.96
Nashville,"Utilities & Telecommunications",60200
Pocatello,"Government and Public Administration",59150
"Rural California",Nonprofits,63000
Portland,"Industry unknown",159500
Charlotte,"Business or Consulting",106000
Cypress,"Education (Primary/Secondary)",53000
Kilkenny,Nonprofits,29279
Lakewood,Nonprofits,60110
Berlin,"Engineering or Manufacturing",44305.97333333333
Spartanburg,"Public Libraries",48000
Renton,"Child care",40700
Alexandria,"Art & Design",64000
Jacksonville,Law,140000
"Morgan Hill","Computing or Tech",105000
Parsippany,"Engineering or Manufacturing",42000
DC,"Leisure, Sport & Tourism",93000
"Albany region","Education (Higher Education)",36000
Albany,"Education (Primary/Secondary)",39000
Morristown,Insurance,72000
Elmira,"Engineering or Manufacturing",65000
Juneau,"Education (Higher Education)",81391
Chicago,"Research and Development, Food and Beverage",50000
Wellington,"Education (Higher Education)",172726.4
"San Francisco",Publishing,62400
Windsor,"Health care",79424
Tacoma,Insurance,62000
"Bay Area","Property or Construction",108000
Aurora,"Engineering or Manufacturing",92500
Bath,"Health care",27675
Bloomington,"Computing or Tech",80500
"Cedar Falls","Education (Primary/Secondary)",50000
Denton,"Property or Construction",115000
Arlington,"Social Work",70000
"Saint Paul Park","Computing or Tech",70000
"This answer would reveal my identity.","Public Libraries",71000
Columbus,"IT Security",43680
Lenexa,"FinTech/Payment Processing",58500
"New York","Lobbying and consulting",75000
Atlanta,Chaplain,40000
Bishop,"Health care",118268
Vancouver,"Science and Natural Resource Management",130560
"Idaho Falls",Nonprofits,38000
Chesapeake,Retail,21000
Sheffield,"Accounting, Banking & Finance",29686.05
"A Coruña","Hospitality & Events",12673
"Mountlake Terrace",Insurance,57250
Alexandria,"Accounting, Banking & Finance",79000
Redlands,"Computing or Tech",107840
"Cherry Hill",Libraries,51300
Tucson,"Scientific Research",31200
"Los Angeles",Food,130000
"Columbia Falls","Marketing, Advertising & PR",52500
Fredonia,"Education (Higher Education)",81600
Jamestown,Nonprofits,32000
Murray,"Mental health therapist",73611
Baltimore,Library,55000
Bradford,"Social Work",55000
Miami,"Marketing, Advertising & PR",151750
"San Diego",Caregiver,33280
"Washington, D.C.","Computing or Tech",128337.66666666667
Bournemouth,"Education (Higher Education)",19557
"Grand Rapids","Health care",72234.33333333333
Evanston,"Engineering or Manufacturing",72750
Bethesda,"Computing or Tech",129140.33333333333
"Whitefish Bay","Government and Public Administration",55862
"Las Cruces","Leisure, Sport & Tourism",55600
Cardiff,"Business or Consulting",22509
"Los Angeles","Food Service --- Baking",35350
"Woburn (Greater Boston area; I provide services in a number of towns.)","Health care",65163
Leeds,Law,23862
Scottsdale,"Education (Higher Education)",85000
"Walla Walla","Accounting, Banking & Finance",60000
"The Dalles, Oregon","Health care",52000
Adelaide,"Health care",109340
Cleveland,Law,119555.55555555556
Canada,Nonprofits,72080
"Rural Alberta","Social Work",85680
Laurel,"Computing or Tech",106000
Decline,library,66000
"Cherry Hill",Nonprofits,65000
"Salt Lake City",Manufacturing,68500
York,"Business or Consulting",61725
"Philadelphia (but clients everywhere)","Marketing, Advertising & PR",208000
Ishpeming,Retail,28080
Batavia,"Marketing, Advertising & PR",35500
"Windsor Ontario",Library,81600
Richmond,Museum,56000
Newton,Nonprofits,110000
Charleston,Nonprofits,27000
Ypsilanti,"Publishing (academic)",52000
City,"Hospitality & Events",150000
"Kitimat, BC","Marketing, Advertising & PR",163200
D.C.,"Business or Consulting",74000
Victoria,"Agriculture or Forestry",102950.54
Seattle,"Labor Union",63000
Piscataway,"Marketing, Advertising & PR",72000
Cleveland,"Professional Public Librarian",34500
"Lake Mary","Leisure, Sport & Tourism",51200
Connecticut,"Education (Higher Education)",75000
"Indian Head","Education (Primary/Secondary)",52386
Seattle,"Cancer research, not for profit",71700
Norfolk,Retail,67000
Tempe,"Engineering or Manufacturing",65000
Logan,"Computing or Tech",63333.333333333336
Hancock,"Health care",64000
"French Camp","Recruitment or HR",57700
Allen,"Education (Higher Education)",52798
Wheeling,Law,52000
lewisville,"Art & Design",78000
Inwood,"Wholesale Trade",50000
Anonymous,"Government and Public Administration",86000
"Des Moines metro","Property or Construction",35880
Itasca,"Computing or Tech",105400
"San Jose, CA and Tulsa, OK",Law,80000
Lafayette,"Marketing, Advertising & PR",40000
"Council Bluffs",Nonprofits,45000
Dublin,"Property or Construction",48944
Manchester,"Law Enforcement & Security",18450
"St John's, NL","Property or Construction",106080
Boulder,"Science publishing",103000
"Northcentral WI",Insurance,74000
Knoxville,"Engineering or Manufacturing",60000
"St. Paul",Retail,52000
Worcester,Law,65000
Dartmouth,Nonprofits,224400
Germany,"Media & Digital",39330
Melbourne,Architecture,147840
Alameda,"Engineering or Manufacturing",112333.33333333333
York,Archives,29757.636
"New Plymouth",Law,177100
Antwerp,"Computing or Tech",78660
Augusta,"Health care",61820
Copenhagen,"Art & Design",829500
"Edina - Minneapolis","Property or Construction",52000
"St. Louis, MO","Industry unknown",50000
"British Columbia","Government and Public Administration",114693.33333333333
Allentown,"Accounting, Banking & Finance",74000
N/a,"Government and Public Administration",30000
Cambridge,Retail,14760
"Mt Pleasant","Engineering or Manufacturing",103000
Fargo,"Health care",29120
"King of Prussia","Health care",168900
"SF Bay","Computing or Tech",170000
"Gloversville, NY","Social Work",33280
Auckland,"Education (Higher Education)",177100
Montreal,"Education (Primary/Secondary)",82905.6
Toledo,"Business or Consulting",39500
"San Antonio","Media & Digital",72000
"Long Beach",Law,96000
"Gold Coast","Education (Higher Education)",179539.36
Peoria,"Social Work",56700
Eureka,"Government and Public Administration",54162.333333333336
Missoula,Nonprofits,75837.5
Sewaren,"Utilities & Telecommunications",175000
"Waterford, MI","Property or Construction",31200
"WFH (Was Topeka, KS. Now Whiting, KS)","Government and Public Administration",32676
"San Diego",Publishing,61250
Chichester,Theatre,14760
Wellington,"Art & Design",124740
"White Earth","Social Work",87000
Clarksburg,"Education (Higher Education)",47500
Westchester,"Education (Primary/Secondary)",54577.5
Brisbane,"medical research",106260
Calgary,Architecture,108800
Columbus,"Property or Construction",43600
"Waterloo, Ontario","Computing or Tech",145673
rural,Science,100100
"Houston metro area","Marketing, Advertising & PR",93000
Saginaw,"Education (Higher Education)",60000
Geyserville,"Agriculture or Forestry",101000
"all over N CA",restoration,184000
Brisbane,"Hospitality & Events",49280
Egham,Retail,12289.914
"Chicago suburbs","Engineering or Manufacturing",106000
Coventry,Retail,17077.32
Lafayette,"Engineering or Manufacturing",69000
"Detroit area","Social Work",24000
"East Coast","Government and Public Administration",97920
Muscatine,"Accounting, Banking & Finance",50500
Fairfax,"Property or Construction",138000
Vail,"Biomedical Research",82000
Essex,"IT MSP",60000
"Santa Fe",Retail,50000
"New Orleans","Business or Consulting",80500
Mclean,"Accounting, Banking & Finance",118619.08333333333
"Ruther Glen","Accounting, Banking & Finance",41200
"Edmonton, Alberta","Health care",20400
Edinburgh,"Transport or Logistics",39114
Fairfield,"public libraries",33000
"Oklahoma City","Government and Public Administration",68222
Berwyn,"Social Work",45000
"no answer","Public library",97232
Hamden,"Education (Primary/Secondary)",42000
"Melbourne Australia","Utilities & Telecommunications",295680
Brentwood,Retail,30000
Meridian,"Health care",31200
"Too small to list","Government and Public Administration",75000
Bristol,"Not for profit education consultancy",27084.6
Tulsa,"Education (Higher Education)",87000
Calgary,Insurance,121040
Berkeley,Nonprofits,111750
"Suburban Philadelphia","Education (Primary/Secondary)",62000
Anchorage,"Environmental Consulting",68000
Auckland,"Art & Design",129360
Kiruna,Retail,3325000
Irvine,"Industry unknown",43000
Wakefield,Libraries,61767
Edmonton,"Utilities & Telecommunications",119000
"Richmond VA","Health care",220000
"Sherman Texas",Nonprofits,38000
London,"Professional regulation",40590
"Bloomfield Hills","Business or Consulting",55
Calgary,Geologist,353600
"Chicago, IL","Education (Higher Education)",51500
Tarrytown,Biotech,130000
"Work from home",Insurance,147000
Beaumont,Insurance,55000
Brisbane,Retail,130900
Salem,Retail,26600
Redmond,"Accounting, Banking & Finance",148000
Unknown,"Social Work",107800
Sydney,"Computing or Tech",229788.23529411765
Melbourne,"Utilities & Telecommunications",163753.33333333334
Canberra,"Government and Public Administration",178439.646
Seattle,"Social Work",67489
"Palo alto","Education (Higher Education)",96000
Zurich,"Computing or Tech",95859.01714285715
aston,manufacturing,70000
Sydney,"Art & Design",113960
"Lynnfield (Boston metro area)","Media & Digital",59000
"Long Beach","Accounting, Banking & Finance",63000
"Small town","Transport or Logistics",43000
Seattle,Biotechnology,107000
Salem,"Hospitality & Events",29500
"San Antonio","Government and Public Administration",88500
Frankfurt,"Health care",28842
"Southern Maine","Engineering or Manufacturing",90500
Bristol,"Education (Higher Education)",39520
Manchester,"Media & Digital",33250.59
"Barrie Ontario","Health care",130560
"Berkeley, CA","Government and Public Administration",76000
"Prefer not to answer","Engineering or Manufacturing",128500
"Greater Philadelphia area","Education (Higher Education)",51000
"Hobart, Tasmania","Computing or Tech",89320
"Church Hill","Education (Primary/Secondary)",62000
Easton,"Scientific analysis",70000
Towson,"Health care",65333.333333333336
"Elmwood Park","Computing or Tech",79999
"Foothill Ranch, CA","Recruitment or HR",100000
Pittsburgh,"Low-Voltage Equipment",45000
Waterloo,Nonprofits,72080
"San Francisco",Science,185000
Halifax,"Public library",118320
hampton,"Engineering or Manufacturing",108870
Hersey,"Social Work",28000
"Portland metro","Government and Public Administration",63000
Greensboro,"Hospitality & Events",13600
"Sioux falls","Education (Primary/Secondary)",46000
"Staten Island","Health care",78000
"Riverside and San Bernardino","Health care",93000
Stamford,"Health care",60500
"san mateo ca",Law,232000
"Rural Richmond Area","Public Libraries",62000
Ventura,Law,48800
Chester,"Education (Primary/Secondary)",47000
Lexington,"Architecture and engineering consulting and design",101000
Sydney,"Education (Higher Education)",195562.675
Redmond,"Media & Digital",64550
Rural,"public library",58000
NYC,"Health care",106714.28571428571
Franklin,Retail,28600
reno,"Engineering or Manufacturing",109400
"San Francisco","Transport or Logistics",140000
"Edmonton, Alberta","Hospitality & Events",108272.32
Cheyenne,"Public library",81000
"Cape Girardeau","Accounting, Banking & Finance",52500
Racine,"Computing or Tech",78000
Manhattan,"Education (Primary/Secondary)",47000
"Montgomery County",Law,63000
"St John's","Government and Public Administration",73440
"Chicago (but distributed workplace)","Media & Digital",140000
Tumwater,"Government and Public Administration",68000
"Cape Cod region","oceanography research",45000
Renton,"Health care",101500
Baltimore,"Scientific Research",125000
"San Francisco",Architecture,140620
"Bergen County","Engineering or Manufacturing",134000
"too small to answer with anonymity!","Education (Primary/Secondary)",70000
Westwood,"Marketing, Advertising & PR",106000
Devens,"Recruitment or HR",65000
Wells,"Health care",70000
"Sioux Falls","Engineering or Manufacturing",78500
Brisbane,Law,168245
Fulton,"Education (Higher Education)",46000
Cheshire,Law,19557
Norwich,Insurance,16974
Province,"Computing or Tech",39330
Concord,Insurance,88000
"San Francisco","Clinical & Translational Research",76000
"Santa Ana","Engineering or Manufacturing",72750
"Sioux City","Engineering or Manufacturing",92000
"Lake Jackson","Engineering or Manufacturing",141000
Belleville,"Law Enforcement & Security",104640
"Office was in Chicago, now WFH in WI",Insurance,130704
"San Clemente","Business or Consulting",54000
"A large city","Government and Public Administration",158620
"I work remotely from a different location.",Law,41600
"Los Altos Hills","Education (Primary/Secondary)",49000
Cameron,"Health care",57000
"Home plus travel to customers. Near Chicago","Business or Consulting",132500
Dublin,"Education (Higher Education)",42076.69066666667
Sarasota,"Accounting, Banking & Finance",47840
Orange,"Social Work",84500
"Silver Spring",Finance,90000
"Prefer not to say","Agriculture or Forestry",500000
Sacramento,"Marketing, Advertising & PR",75866.66666666667
"Daly City","Education (Primary/Secondary)",63000
Blaine,"Accounting, Banking & Finance",60000
"South Lake Tahoe",Nonprofits,16000
Beachwood,"Education (Higher Education)",50000
Seattle,"Food Distribution",45000
Canada,"Government and Public Administration",231200
Rochester,"Real Estate",50000
Puyallup,"Government and Public Administration",78000
Burlington,Biotech,80000
Waukegan,"Engineering or Manufacturing",115000
Berkeley,"Media & Digital",85000
Pittsburgh,Research,43000
Orlando,"Utilities & Telecommunications",75800
Vernon,Nonprofits,37000
G,"Accounting, Banking & Finance",67123.2
Fresno,"Government and Public Administration",98591.66666666667
Altadena,"Construction, HVAC",62400
Whitehorse,"Government and Public Administration",124054.66666666667
Sarasota,"Computing or Tech",126000
"New Haven",Nonprofits,67000
Hamilton,"Marketing, Advertising & PR",74455
Lomdon,"Accounting, Banking & Finance",46125
Alpharetta,"Government and Public Administration",45000
Orlando,Clergy,42000
Salem,"Marketing, Advertising & PR",59000
Tampa,"Recruitment or HR",86250
Palmdale,"Engineering or Manufacturing",146500
Hamilton,"Health care",176800
confidential,Insurance,150000
Melbourne,"Property or Construction",166833.33333333334
Lancaster,"Education (Higher Education)",95000
"Saint Louis","Leisure, Sport & Tourism",82000
"NY Suburb",Nonprofits,58000
"Little Rock","Government and Public Administration",73549
Wheeling,"Government and Public Administration",44450
"Fort Collins","Veterinary Diagnostics",44000
Declined,Retail,34320
"London, UK","Government and Public Administration",41475.6
Washington,"Education: preschool",100000
"Newport News","Education (Higher Education)",62500
Eagan,"Health care",45000
"Rapid City","Government and Public Administration",66805
Edmonton,"Property or Construction",125120
Townsville,Retail,66220
"I don’t live in a city; I am VERY rural","Education (Primary/Secondary)",50000
Sacramento,Insurance,72000
Norfolk,"Health care",65000
"Ottawa area",Nonprofits,91120
"St. Louis","Customer service/call center",40000
"Capital Region","Property or Construction",135000
Fitchburg,"Education (Higher Education)",63000
Maine,"Education (Primary/Secondary)",45250
Unknown,"Media & Digital",78740
"Los Angeles",Sales,78200
Leawood,"Marketing, Advertising & PR",70000
Nashua,"Computing or Tech",148750
Wichita,Retail,45500
Monongahela,"Health care",39000
Blacksburg,"Health care",80000
"Washington, DC","Nonprofit scholarly society publisher",111000
Issaquah,"Computing or Tech",84775.5
Quincy,Retail,83000
Calgary,"Transport or Logistics",127670
Maplewood,Retail,55000
"Alexandria, LA","Government and Public Administration",92580
"Chicago suburbs","Health care",85900
Sydney,"Engineering or Manufacturing",180180
Tilton,"Education (Primary/Secondary)",94000
"San Diego","Medical Device",130000
Portland,Architecture,105000
"Thousand Oaks","Animal Caretaker",72800
"Camp hill","Education (Primary/Secondary)",65000
Variety,"Environmental health and safety compliance",48000
Orlando,"Industry unknown",67000
Lansing,Entertainment,52000
Nottingham,Insurance,14981.4
"Bay of Plenty",Insurance,100100
Okinawa,"Marketing, Advertising & PR",30160
"San Mateo","Government and Public Administration",112000
Duncanville,Libraries,57985
"Fort Lauderdale","Education (Primary/Secondary)",53000
"prefer not to identify","Education (Higher Education)",152184
Calgary,"Environment - Oil and Gas",169728
Suwanee,"Marketing, Advertising & PR",60000
Surrey,"Computing or Tech",85127
Williamstown,"Education (Higher Education)",61000
"Santa Rosa","Health care",95000
"Overland Park","Accounting, Banking & Finance",89500
"Rancho Cucamonga","Art & Design",42000
Brisbane,"Marketing, Advertising & PR",87985.33333333333
Auburn,"Computing or Tech",29120
CDA,Insurance,47000
Canberra,Law,115500
Anchorage,Sales,90000
Natick,"Accounting, Banking & Finance",180000
"Cherry Hill","Education (Primary/Secondary)",44800
Helena,Nonprofits,66700
Utica,"Food manufacturing",65000
Willowbrook,"Accounting, Banking & Finance",40000
Denton,"Education (Higher Education)",47408
Fresno,"Education (Primary/Secondary)",99000
Bangor,"Accounting, Banking & Finance",41626.666666666664
EDMONTON,"Engineering or Manufacturing",231653.33333333334
"San Fransisco",Law,215000
"New York",Beauty,62400
Calgary,Nonprofits,100041.6
"New London","Engineering or Manufacturing",105000
"Montgomery County","Health care",81000
"Novato, CA","Computing or Tech",175000
Sydney,"Property or Construction",111015.52
"Lacey Township","Education (Higher Education)",21840
Pasadena,Retail,23400
"Whitehorse, YT","Public Libraries",116688
Plymouth,"Utilities & Telecommunications",159000
Sydney,Library,150150
Seattle,Unions,80000
"Rural area","Education (Primary/Secondary)",100000
"San Francisco",Pharmaceuticals,161000
Chicagoland,"Education (Higher Education)",58000
"Lake Bluff","Libraries (public)",42000
"East Windsor","Property or Construction",58240
Neopit,"Education (Primary/Secondary)",60000
"Rio de Janeiro","Computing or Tech",161500
Jerusalem,"Education (Higher Education)",210000
"Nyc metro","Consumer goods",208000
"Raleigh, NC","Education (Primary/Secondary)",66500
Ashland,"Health care",43680
Edmonton,"Education (Primary/Secondary)",82144
"Northern VA","Computing or Tech",94000
Melbourne,Law,126665
Philadelphia,"Leisure, Sport & Tourism",57150
Clearfield,"Computing or Tech",94000
Pittsburgh,"Energy Supplier",73000
Cleveland,"Food & Beverages",55000
Trenton,"Life Sciences",176800
Tucker,"Utilities & Telecommunications",97000
Adelaide,"Engineering or Manufacturing",158620
Hartsville,"Engineering or Manufacturing",36000
Carson,"Education (Higher Education)",72000
Golden,Nonprofits,75000
