Industry,Years_of_Professional_Experience_Overall,Number_of_Employees
"Data Entry","8 - 10 years",1
"Wholesale and retail trade","21 - 30 years",1
E-commerce,"8 - 10 years",3
"Food processing","11 - 20 years",1
"auto repair","11 - 20 years",1
"Architectural/Land Planning/Civil Engineering","21 - 30 years",1
"Gaming (Gambling)","8 - 10 years",1
"Regulatory Affairs- nutraceuticals","11 - 20 years",1
"Manufacturing : corporate admin support","8 - 10 years",1
"Real Estate Investment Support","8 - 10 years",1
"Government relations","21 - 30 years",1
"Household Services","11 - 20 years",1
"Pharmaceutical Development","2 - 4 years",1
"Professional training","11 - 20 years",1
"Pharmaceutical Manufacturing","2 - 4 years",1
"Clinical Research","5-7 years",1
"Veterinary medicine","8 - 10 years",1
Software,"21 - 30 years",3
Veterinary,"11 - 20 years",9
Library,"2 - 4 years",5
"Contract Research","2 - 4 years",1
"Grocery Distribution","11 - 20 years",2
Research,"5-7 years",4
Entertainment,"41 years or more",1
"Tailoring Service","8 - 10 years",1
"veterinary biotech","5-7 years",1
"Oil and Gas","5-7 years",4
Biotech/Pharma,"11 - 20 years",4
"Small business/service company","5-7 years",1
"Information services (library)","11 - 20 years",1
"Stay-at-home parent","21 - 30 years",1
"Real estate software","21 - 30 years",1
Construction,"21 - 30 years",3
"Commercial Building Material Distribution","21 - 30 years",1
"Consumer Product Organization","11 - 20 years",1
"Child care","11 - 20 years",2
"Research and Development, Food and Beverage","5-7 years",1
"IT Security","8 - 10 years",1
"FinTech/Payment Processing","11 - 20 years",1
"Lobbying and consulting","5-7 years",1
Chaplain,"11 - 20 years",1
"Science and Natural Resource Management","21 - 30 years",1
Food,"11 - 20 years",1
"Mental health therapist","11 - 20 years",1
Caregiver,"11 - 20 years",1
"Food Service --- Baking","11 - 20 years",1
Museum,"21 - 30 years",1
"Publishing (academic)","11 - 20 years",1
"Labor Union","5-7 years",1
"Professional Public Librarian","11 - 20 years",1
"Cancer research, not for profit","31 - 40 years",1
"Wholesale Trade","8 - 10 years",1
"Science publishing","11 - 20 years",1
Archives,"5-7 years",1
Theatre,"11 - 20 years",1
"medical research","11 - 20 years",1
Science,"2 - 4 years",4
restoration,"11 - 20 years",1
"IT MSP","21 - 30 years",1
"Scientific Research","5-7 years",6
"Not for profit education consultancy","2 - 4 years",1
"Professional regulation","31 - 40 years",1
Geologist,"11 - 20 years",1
"Social Work","31 - 40 years",4
"Scientific analysis","11 - 20 years",1
"Low-Voltage Equipment","11 - 20 years",1
"Public Libraries","8 - 10 years",4
"Architecture and engineering consulting and design","21 - 30 years",1
"oceanography research","2 - 4 years",1
"Scientific Research","21 - 30 years",3
"Clinical & Translational Research","21 - 30 years",1
Finance,"21 - 30 years",1
"Food Distribution","5-7 years",1
"Construction, HVAC","8 - 10 years",1
Clergy,"8 - 10 years",1
"Veterinary Diagnostics","8 - 10 years",1
"Education: preschool","11 - 20 years",1
"Customer service/call center","11 - 20 years",1
Pharma/biotech,"8 - 10 years",1
"Nonprofit scholarly society publisher","21 - 30 years",1
"Medical Device","5-7 years",1
"Animal Caretaker","11 - 20 years",1
"Environmental health and safety compliance","11 - 20 years",1
"Environment - Oil and Gas","8 - 10 years",1
"Food manufacturing","21 - 30 years",1
Beauty,"2 - 4 years",1
Unions,"8 - 10 years",1
Pharmaceuticals,"21 - 30 years",3
"Libraries (public)","8 - 10 years",1
"Consumer goods","11 - 20 years",5
"Energy Supplier","11 - 20 years",1
"Food & Beverages","8 - 10 years",1
"Manufacturing, Chemical","41 years or more",1
"digital marketing within a book publishing company (please reclassify as you see fit)","11 - 20 years",1
"Pharmaceutical/Contract Research Organization","21 - 30 years",1
Entertainment,"31 - 40 years",9
Beverage,"5-7 years",2
"Food Manufacturing","8 - 10 years",1
"trade association","21 - 30 years",2
"Science Research, government","21 - 30 years",1
"Health and fitness","11 - 20 years",1
"Commercial Real Estate","21 - 30 years",1
"Oil & gas","21 - 30 years",5
"Real Estate/Development","8 - 10 years",1
Science/government,"11 - 20 years",1
Museums,"8 - 10 years",1
"Real estate: title & escrow","5-7 years",1
"Think tank","11 - 20 years",1
Librarian,"5-7 years",1
"Family Office","21 - 30 years",1
"Environmental Sciences","8 - 10 years",1
"Human Capital Management","2 - 4 years",1
"Educational publishing / ed tech","11 - 20 years",1
"cultural (museums/galleries)","8 - 10 years",1
"Museums & archives","21 - 30 years",1
"Shared office space","31 - 40 years",1
"Labor Union","21 - 30 years",2
"Beverage Production","11 - 20 years",1
Consulting,"2 - 4 years",2
"Political consulting","2 - 4 years",1
"social science research - not quite academia, not quite nonprofit, not quite consulting","11 - 20 years",1
"Real Estate Development","8 - 10 years",1
"In-House Marketing","5-7 years",1
"Life sciences (not in academia)","11 - 20 years",1
"Professional services","11 - 20 years",4
"individual & family services","11 - 20 years",1
"Agriculture or Forestry","41 years or more",2
"Medical Technology","21 - 30 years",1
"Oil and Gas","31 - 40 years",1
Mortgage,"8 - 10 years",1
"Outdoor industry/repair and maintenance","11 - 20 years",1
Consulting,"11 - 20 years",3
"National laboratory","5-7 years",1
"Analytical lab","8 - 10 years",1
"Food manufacturing","11 - 20 years",2
Research,"1 year or less",2
Research,"21 - 30 years",1
"STEM medical research","8 - 10 years",1
"Non profit theatre","11 - 20 years",1
"Animal health industry","21 - 30 years",1
"Art & Design","31 - 40 years",2
"Environmental compliance","11 - 20 years",1
"Disability services","8 - 10 years",1
"Libraries / Archives / Information","5-7 years",1
Analytics,"21 - 30 years",1
Travel,"11 - 20 years",2
"Executive Leadership Servis","21 - 30 years",1
"Corporate Travel Industry","31 - 40 years",1
"Business Process Outsourcing","2 - 4 years",1
biotechnology,"41 years or more",1
"Aerospace & defence","11 - 20 years",1
"Drug development","21 - 30 years",1
Telecommunications,"2 - 4 years",1
Gyms,"11 - 20 years",1
"Auction House","1 year or less",1
"government contractor, international development","11 - 20 years",1
"Horticulture (Admin)","21 - 30 years",1
Apparel,"11 - 20 years",1
"Early childhood education","21 - 30 years",1
Biotech/pharma,"8 - 10 years",1
"Energy, Oil & Gas","21 - 30 years",1
"Summer camp","8 - 10 years",1
"Food distribution","31 - 40 years",1
Counselling,"5-7 years",2
"Administration (food service)","11 - 20 years",1
"CBD Manufacturing","5-7 years",1
"video games","11 - 20 years",3
"Education (Primary/Secondary)","41 years or more",1
Archives,"31 - 40 years",1
"Brain research","11 - 20 years",1
Wine,"11 - 20 years",1
"Libraries (Public)","11 - 20 years",1
"Protective coatings","11 - 20 years",1
"Biotech (R&D)","2 - 4 years",1
"Science (Chemistry R&D)","11 - 20 years",1
"Production and Manufacturing","8 - 10 years",1
"Global Health Consulting","21 - 30 years",1
Security,"8 - 10 years",1
"Research Institute","5-7 years",2
"Mining & Mineral Processing","2 - 4 years",1
"Museum Library","11 - 20 years",1
"Online education startup (non-technical role)","8 - 10 years",1
"Private investigator at large firm","5-7 years",1
ECommerce,"11 - 20 years",1
Consultant,"11 - 20 years",1
Research,"8 - 10 years",7
Chemical,"2 - 4 years",1
"Aerospace and defence Manufacturing","21 - 30 years",1
"Executive search","11 - 20 years",1
"Government contractor","5-7 years",1
"Academic Publishing","5-7 years",1
"Media & Digital","41 years or more",3
"Nonprofit - LORT D Theatre","2 - 4 years",1
Science,"8 - 10 years",4
"Research and Development","5-7 years",1
Concrete,"11 - 20 years",1
"Animal Health","11 - 20 years",1
"clinical trials research coordination","21 - 30 years",1
AmeriCorps,"5-7 years",1
"Government Contractor","31 - 40 years",1
"Law Library","21 - 30 years",1
Vet,"5-7 years",1
Communications,"2 - 4 years",2
Printing,"11 - 20 years",1
"Construction admin","8 - 10 years",1
"Consumer goods","8 - 10 years",1
"Virtual reality","1 year or less",1
"Early Education (corporate office)","8 - 10 years",1
"Community Management","21 - 30 years",1
"TIC (Testing, Inspection & Certification)","5-7 years",1
"Food Manufacture","21 - 30 years",1
Biologist,"8 - 10 years",1
"Pet care industry","11 - 20 years",1
"Medical Research","8 - 10 years",2
"Food production","21 - 30 years",1
"Renewable Energy","21 - 30 years",1
"Instructional Designer","11 - 20 years",1
"School District Pre-K-12","11 - 20 years",1
"Science - QC lab","8 - 10 years",1
defence,"11 - 20 years",2
publishing/edtech,"21 - 30 years",1
"Pest Control","2 - 4 years",1
"Clinical Research","2 - 4 years",1
"Food & Nutrition","8 - 10 years",1
"defence Contractor","8 - 10 years",1
"Library (university)","5-7 years",1
Technology,"5-7 years",1
"Public safety","8 - 10 years",1
"Medical research","5-7 years",2
"Restaurant Group","21 - 30 years",1
"Pharmaceutical industry","21 - 30 years",1
"Ed Tech","5-7 years",1
"Corporate service management","5-7 years",1
"Government Relations","2 - 4 years",1
"CALL CENTER","21 - 30 years",1
facilities,"5-7 years",2
"Media & Digital","1 year or less",6
"commodities trading","31 - 40 years",1
"Union/political organizing","5-7 years",1
"Non-profit health care (I couldn’t select both)","8 - 10 years",1
"academic research","2 - 4 years",1
mortgage,"5-7 years",1
"Outsourced Customer Service/Tech Support Call Centre","11 - 20 years",1
Interpretation,"8 - 10 years",1
"Pharmaceutical research (chemist)","21 - 30 years",1
Religion,"11 - 20 years",1
"Urban Planning","11 - 20 years",1
Journalism,"5-7 years",1
"Library science / part-time work/study","1 year or less",1
Architecture,"21 - 30 years",2
"Customer Service","11 - 20 years",1
"Public Health- state level","2 - 4 years",1
"Tabletop Gaming","8 - 10 years",1
"Winery regulatory compliance","11 - 20 years",1
"Administrative Support","11 - 20 years",1
"User Experience (UX) Research","11 - 20 years",1
"Education Consulting","11 - 20 years",1
"Contract research organisation","8 - 10 years",1
"Coffee - Importing","8 - 10 years",1
"Payment Processing","11 - 20 years",1
"Library and Information Services","11 - 20 years",1
Librarian,"8 - 10 years",2
"University research","5-7 years",1
"Academic Press Production","8 - 10 years",1
Pharmaceutical/Biotech,"8 - 10 years",1
Training,"11 - 20 years",3
"Wine Wholesale","11 - 20 years",1
"Science academia","5-7 years",1
"Public affairs / PR","5-7 years",1
"Large University Administration","8 - 10 years",1
Communications,"8 - 10 years",1
"Construction / Stone industry","2 - 4 years",1
Aerospace,"8 - 10 years",1
"Computing/Tech + Higher Ed + Nonprofit","1 year or less",1
"Research at a State University","11 - 20 years",1
Pharmaceutical,"2 - 4 years",3
"Office Admin","5-7 years",1
"Agriculture/Agriculture Chemical","8 - 10 years",1
"R&D in Manufacturing","2 - 4 years",1
"Library and Information Science","11 - 20 years",1
Fashion,"5-7 years",1
"Transport or Logistics","41 years or more",1
Information,"21 - 30 years",1
"Game development","11 - 20 years",1
"Private Equity","11 - 20 years",2
Biotech,"1 year or less",1
Construction,"8 - 10 years",3
Cannabis,"5-7 years",2
"Education research- mix of Edtech and non profits","8 - 10 years",1
Ministry,"31 - 40 years",1
"Transport or Logistics","1 year or less",5
"Healthcare Information Technology","11 - 20 years",1
Insurance,"1 year or less",9
Environmental,"2 - 4 years",8
"Fast casual restaurant","8 - 10 years",1
"Supply Chain","11 - 20 years",1
"I work in the finance function of a large global conglomerate","5-7 years",1
"Libraries & Archives","2 - 4 years",1
"Funeral Service","11 - 20 years",1
Fashion,"2 - 4 years",1
"Beverage Distribution","11 - 20 years",1
"Nonprofit - legal department","5-7 years",1
"Pharmaceutical Research","2 - 4 years",1
"Software Development / IT","5-7 years",1
"Commercial Landscaping","21 - 30 years",1
Labor,"5-7 years",1
Libraries,"1 year or less",1
"Ecommerce - Technology","2 - 4 years",1
Oil,"11 - 20 years",1
"Child Care Resource and Referral Agency","5-7 years",1
"Warehouse- Food and Beverage","8 - 10 years",1
"Video games","8 - 10 years",2
"Research & Development","2 - 4 years",1
Administrative,"8 - 10 years",1
Forensics,"11 - 20 years",1
"Educational assessment","11 - 20 years",1
"strategy consulting","8 - 10 years",1
"Data/Institutional Research in Higher Education","8 - 10 years",1
"Science (Laboratory)","2 - 4 years",1
Military,"21 - 30 years",1
"Renewable fuels","8 - 10 years",1
Saas,"5-7 years",2
"International organization (UN)","8 - 10 years",1
"Customer service","2 - 4 years",1
"I have two jobs. Marketing / Business","2 - 4 years",1
"Non Profit Theatre","8 - 10 years",1
"Oil and Gas","2 - 4 years",1
Pharmaceuticals/Biotechnology,"21 - 30 years",1
"Think tank","5-7 years",1
"Beauty, Cosmetics, Fragrance","11 - 20 years",1
"Film Post-Production","5-7 years",1
"Government Contractor (R&D)","5-7 years",1
"Business or Consulting","41 years or more",2
"Academic research","8 - 10 years",1
"Commercial Real Estate","2 - 4 years",1
parking,"8 - 10 years",1
"Automotive technician","21 - 30 years",1
"Language Services","5-7 years",1
"Zoos and Aquariums","11 - 20 years",1
Toxicology,"11 - 20 years",1
Construction,"2 - 4 years",3
"Academia / Research","11 - 20 years",1
Libraries/Museums/Archives,"8 - 10 years",1
"Medical supply Wholesale & Warehousing","8 - 10 years",1
"Organized Labor","8 - 10 years",1
"International organisations","11 - 20 years",1
"Food service","1 year or less",2
Music,"11 - 20 years",1
"Educational Research","11 - 20 years",1
"Consumer/Packaged Goods","5-7 years",1
Printing,"31 - 40 years",1
Religion,"21 - 30 years",1
"Utilities & Telecommunications","1 year or less",3
Academia,"1 year or less",1
"Video Game Industry","11 - 20 years",1
"Science research","2 - 4 years",3
Fitness,"21 - 30 years",2
Energy/oil,"8 - 10 years",1
"Library at a University","11 - 20 years",1
"Diagnostic Medical Devices","2 - 4 years",1
"Energy Sector: Oil & Gas","11 - 20 years",1
"Religious (synagogue)","5-7 years",1
"Preclinical Research","21 - 30 years",1
Automotive,"5-7 years",3
"Healthcare technology","8 - 10 years",1
"Music Licensing","5-7 years",1
"Operational Training","1 year or less",1
Sports,"8 - 10 years",1
"Education service provider","11 - 20 years",1
"Entertainment data","1 year or less",1
"Real estate service","21 - 30 years",1
"Industrial Supply","21 - 30 years",1
"Beverage & Spirits","11 - 20 years",1
"Outsourcing Services","21 - 30 years",1
"Consumer Packaged Goods","11 - 20 years",2
"Freelance Journalism","2 - 4 years",1
Lobbying,"8 - 10 years",1
Tech,"2 - 4 years",1
"Animal welfare","11 - 20 years",1
"Food service","8 - 10 years",1
"Nonprofit association","11 - 20 years",1
Accessibility,"8 - 10 years",1
Funeral,"11 - 20 years",1
"Leisure, Sport & Tourism","31 - 40 years",1
"Food manufacturers","21 - 30 years",1
"Oil and gas exploration","11 - 20 years",1
"Textbook Copyeditor","5-7 years",1
"Interior Design (commercial)","2 - 4 years",1
Janitorial,"5-7 years",1
Cannabis,"8 - 10 years",1
"University libraries","5-7 years",1
"Pharmaceutical research & development","5-7 years",1
"Funding Intermediary","11 - 20 years",1
Archaeologist,"31 - 40 years",1
Restaurant,"11 - 20 years",1
"Auto Mfg.","21 - 30 years",1
"Translation and Localization","1 year or less",1
"Soft Drinks Manufacturing","11 - 20 years",1
"Government contract","11 - 20 years",1
"not-for-profit health research consulting","11 - 20 years",1
Archives/Libraries,"5-7 years",1
"Real Estate Title Company","8 - 10 years",1
Pharma/biotechnology,"11 - 20 years",1
Environment,"8 - 10 years",2
Veterinary,"21 - 30 years",3
"Game Development","5-7 years",1
defence,"21 - 30 years",1
"art appraisal","8 - 10 years",1
economics,"11 - 20 years",1
"Third sector/non profit - medical membership in UK","11 - 20 years",1
"Software Development","21 - 30 years",1
Clergy,"2 - 4 years",1
"Urban Planning","5-7 years",1
"Beer sales","21 - 30 years",1
"Retail real estate","21 - 30 years",1
"Grocery delivery","2 - 4 years",1
"Food Industry","5-7 years",2
"Performing Arts","5-7 years",1
"Data Breach","8 - 10 years",1
"Biotech/Drug Development","8 - 10 years",2
"CPG / Retail","5-7 years",1
"Medical Research","2 - 4 years",1
Heritage,"2 - 4 years",1
"Property Management","21 - 30 years",1
Architecture/Construction,"5-7 years",1
Religious,"11 - 20 years",1
"Education start-up","2 - 4 years",1
IT,"5-7 years",1
Mining,"21 - 30 years",1
Internet,"11 - 20 years",2
"Online education","2 - 4 years",1
"Information Management/Archives","2 - 4 years",1
Pharmaceuticals,"2 - 4 years",7
Strategy,"5-7 years",1
Software,"11 - 20 years",3
Fundraising,"2 - 4 years",1
"Research/Social Science","5-7 years",1
"Research (health)","5-7 years",1
"Affordable Housing Real Estate Development (nonprofit)","11 - 20 years",1
Science,"21 - 30 years",1
e-comm,"11 - 20 years",1
"Wholesale textile manufacture and sales","11 - 20 years",1
"Natural resources","5-7 years",2
"Per Sitter","8 - 10 years",1
"Pension Benefit Administration","11 - 20 years",1
"Lab Science (Biotech)","11 - 20 years",1
Wholesale,"8 - 10 years",1
Horticulture,"11 - 20 years",1
"Supply Chain!","21 - 30 years",1
"Research - academic","8 - 10 years",1
"Pet Care","11 - 20 years",1
"Veterinary medicine","11 - 20 years",1
"Medical Technology","2 - 4 years",1
"Art & Design","1 year or less",4
"Pharmaceutical Industry","11 - 20 years",1
"Private Sector Emergency Management","21 - 30 years",1
"Consumer Product Goods","2 - 4 years",1
Science/Biotech,"8 - 10 years",1
"Early Childhood Education","8 - 10 years",1
"Publishing: Science, Academic, Technical","21 - 30 years",1
"Real Estate Affordable Housing","11 - 20 years",1
Clergy,"11 - 20 years",1
"International development","31 - 40 years",1
"Retail call center","11 - 20 years",1
Fundraising,"5-7 years",1
"Libraries and Archives","21 - 30 years",1
"Call center","11 - 20 years",1
Construction,"11 - 20 years",3
"Market research","5-7 years",4
"Clinical trials","11 - 20 years",1
Fashion/e-commerce,"8 - 10 years",1
Conservation,"8 - 10 years",1
"Clinical research and development","11 - 20 years",1
"Games development","8 - 10 years",1
Digital,"8 - 10 years",1
Fintech,"21 - 30 years",1
Journalism,"11 - 20 years",1
"Consumer Products design","11 - 20 years",1
"FMCG development","11 - 20 years",1
"Government Contracting","11 - 20 years",1
"Commercial Real Estate","1 year or less",1
"Aerospace and defence/Government Contracting","5-7 years",1
"Survey Research/Public Policy Research","5-7 years",1
Service,"11 - 20 years",1
"Veterinary m&a","8 - 10 years",1
"Language Services company, unsure the broad category to use. Our clients are branding agencies, and their clients are frequently (but not always) pharmaceutical companies.","5-7 years",1
Procurement,"5-7 years",1
"International Development","11 - 20 years",1
"environmental compliance/engineering","8 - 10 years",1
Church,"8 - 10 years",1
"Food & Beverage","8 - 10 years",1
"Human services","8 - 10 years",1
"Real estate valuation","2 - 4 years",1
Finance,"11 - 20 years",2
"Libraries and Archives","5-7 years",1
"Communication Research","5-7 years",1
"Human Resources","11 - 20 years",2
"Pharma & Biotech","8 - 10 years",1
Church,"2 - 4 years",1
R&D,"21 - 30 years",1
E-commerce,"2 - 4 years",3
"Energy (Oil & Gas)","21 - 30 years",1
"Public Opinion Research","11 - 20 years",1
defence,"5-7 years",1
Warehouse,"11 - 20 years",1
"Association Management","5-7 years",1
Technology,"21 - 30 years",2
Association,"2 - 4 years",1
"Technical writing","21 - 30 years",1
Apparel,"21 - 30 years",1
"Educational Publishing","11 - 20 years",1
"Mental Health","8 - 10 years",1
Library,"1 year or less",1
"Environmental survey","11 - 20 years",1
"Auction house","8 - 10 years",1
"Real Estate Association","5-7 years",1
"Environmental Services","2 - 4 years",1
"Higher education/Libraries","8 - 10 years",1
Research/Academia,"1 year or less",1
"Food processing and packaging","31 - 40 years",1
"Parks and recreation, land management but with customer service included","11 - 20 years",1
"Research and Evaluation","11 - 20 years",1
"Benefits Administration","11 - 20 years",2
"Early Education","2 - 4 years",1
Museum,"8 - 10 years",1
Beauty,"11 - 20 years",1
"Medica education","21 - 30 years",1
Probiotics,"11 - 20 years",1
"Sales operations","2 - 4 years",1
"Government Relation","8 - 10 years",1
Academia,"2 - 4 years",2
"Auto Repair","21 - 30 years",1
"Food/Quick Service Restaurant (QSR)","11 - 20 years",1
Intelligence,"8 - 10 years",1
"Educational products","2 - 4 years",1
Libraries/Archives,"2 - 4 years",1
"Beauty Manufacturing & Education","8 - 10 years",1
"Storage Facility","5-7 years",1
"Museum (<20 employees)","8 - 10 years",1
"Healthcare IT","21 - 30 years",1
"Content Review - Copyright/DMCA","11 - 20 years",1
"Research Science","2 - 4 years",1
"Wholesale Industrial & Welding Supplies & Equipment","31 - 40 years",1
"Food and Beverage","11 - 20 years",1
"Aerospace and defence","1 year or less",1
"Public Health, local government","11 - 20 years",1
"Security and manufacturing company","2 - 4 years",1
"Print publishing","11 - 20 years",1
"Information Services/Libraries","11 - 20 years",1
Communications,"11 - 20 years",1
"Non-profit Theatre","11 - 20 years",1
"Consulting / Professional Services","5-7 years",1
"Arts Administration","11 - 20 years",1
Pharmaceutical,"8 - 10 years",1
"Tabletop Games Publishing","21 - 30 years",1
"Survey methodology","5-7 years",1
Government,"8 - 10 years",1
"Professional services / architecture","2 - 4 years",1
Scientific,"2 - 4 years",1
Medical/Pharmaceutical,"21 - 30 years",1
"Veterinary medicine","31 - 40 years",1
"Staffing agency","8 - 10 years",1
"Diversity, Equity & Inclusion","8 - 10 years",1
Ipr,"2 - 4 years",1
Petroleum,"31 - 40 years",1
"International defence","11 - 20 years",1
"Pharmaceutical manufacturing","21 - 30 years",1
Brewing,"8 - 10 years",1
"Staffing Firm","11 - 20 years",1
"Law Enforcement & Security","1 year or less",2
"Government Research","5-7 years",1
Pharma/biotechnology,"2 - 4 years",1
"Commercial Fisherman","8 - 10 years",1
Sciences,"5-7 years",1
Purchasing,"2 - 4 years",1
"Manufacturing (medical devices)","11 - 20 years",1
Biopharma,"8 - 10 years",1
"Oilfield adjacent","5-7 years",1
Purchasing,"8 - 10 years",1
"Medical Device","11 - 20 years",1
Manufacturing,"2 - 4 years",1
Aerospace/aviation,"11 - 20 years",1
Buyer,"11 - 20 years",1
"Software Products","5-7 years",1
"Research and Development Academia","11 - 20 years",1
"Energy / renewables","11 - 20 years",1
"Social science","11 - 20 years",1
"Behaviour analysis/mental health","5-7 years",1
Architecture,"2 - 4 years",4
Operations,"11 - 20 years",1
"Educ tech","31 - 40 years",1
"Repair facility for heavy duty trucks","11 - 20 years",1
Scientific,"11 - 20 years",1
"Pharmaceutical research","5-7 years",1
"Writing and journalism","21 - 30 years",1
"Labor Union","31 - 40 years",1
"Information Technology","41 years or more",1
"Contact Center","11 - 20 years",1
"Historic Preservation","11 - 20 years",1
"College Athletics","2 - 4 years",1
Ecology,"5-7 years",1
"Medical technology","11 - 20 years",1
"E commerce","11 - 20 years",1
Biotech/software,"5-7 years",1
"Corporate Training","21 - 30 years",1
"Print Distributor","8 - 10 years",1
Scientist,"8 - 10 years",1
"funeral services","8 - 10 years",1
"Research Scientist, Pharma","31 - 40 years",1
Scientist,"2 - 4 years",1
"Graduate assistant and also events","8 - 10 years",1
"Haz/Ind/Rad Waste Management","21 - 30 years",1
"Staffing & workforce solutions","11 - 20 years",1
"ESL Teacher","11 - 20 years",1
"Fast Food","2 - 4 years",1
"Childcare (0-5 so does not come under Primary education)","1 year or less",1
"Biotech pharmaceuticals","31 - 40 years",1
Administration,"11 - 20 years",1
"Research & Development (Physical Sciences)","21 - 30 years",1
Restaurant,"5-7 years",2
"Pet care/grooming","11 - 20 years",1
"Pharmaceutical R&D","1 year or less",1
"Industrial Hygiene","8 - 10 years",1
"political campaign","5-7 years",1
"Publishing, content as a service","11 - 20 years",1
"Laundry and Rental","11 - 20 years",1
"Public Library","31 - 40 years",1
"Organizational Development","11 - 20 years",1
"Grant writing Consultants","11 - 20 years",1
"Industry unknown","1 year or less",4
"Pre-primary education","8 - 10 years",1
"Renewable Energy Development","11 - 20 years",1
"Education- museum/public outreach","21 - 30 years",1
"Customer service","21 - 30 years",1
"Skilled trade","11 - 20 years",1
"Book Publishing","5-7 years",1
"Trade Associations","5-7 years",1
"Life Sciences","8 - 10 years",1
"Commercial Real Estate Data and Analytics/Research","11 - 20 years",1
"Interior landscaping","8 - 10 years",1
"Delivery and installation for commercial machinery","11 - 20 years",1
"Ecommerce fraud","21 - 30 years",1
"Multilateral Organisation","21 - 30 years",1
Charity,"5-7 years",1
"Supply chain","2 - 4 years",1
"Real Estate customer care","11 - 20 years",1
"Background Screening","11 - 20 years",1
"Food production","8 - 10 years",1
IT,"11 - 20 years",2
Chemicals,"11 - 20 years",1
"Earth sciences","2 - 4 years",1
"Pharmaceutical company","11 - 20 years",1
"DoD Contracting","11 - 20 years",1
"Freelance/Self-Employed Consultant","11 - 20 years",1
"Information technology (IT)","5-7 years",1
"Consulting Operations- Big 4","11 - 20 years",1
Foodservice,"11 - 20 years",1
Retired,"21 - 30 years",1
Bioinformatics,"11 - 20 years",1
"Wealth advisor Research","8 - 10 years",1
"Digital Marketing","11 - 20 years",1
"Library Tech for a school system","11 - 20 years",1
"Restaurants & Hospitality","5-7 years",1
"Manufacturing (personal care)","11 - 20 years",1
coaching,"21 - 30 years",1
"Chemicals/ Materials","5-7 years",1
"Construction Management","1 year or less",1
"Social sciences research","2 - 4 years",1
"Government Contracting R&D","11 - 20 years",1
Aviation,"8 - 10 years",1
"Pharmaceuticals / Biotech","8 - 10 years",1
"manufacturing security systems","21 - 30 years",1
"Professional Association in Finance","21 - 30 years",1
Hospital,"5-7 years",1
Military,"11 - 20 years",1
MedComms,"5-7 years",1
"Landscape Contracting","8 - 10 years",1
"Higher education fundraising","11 - 20 years",1
"Cannabis compliance","11 - 20 years",1
Investing,"11 - 20 years",1
"environmental health and safety","2 - 4 years",1
aviation,"21 - 30 years",1
"Food Processing","8 - 10 years",1
"Early childhood education (preschool)","31 - 40 years",1
Scientist,"11 - 20 years",1
"Medical Devices","21 - 30 years",1
Communications,"31 - 40 years",1
"Animal Care","21 - 30 years",1
"Mining and natural resources","8 - 10 years",1
"Research Science","11 - 20 years",1
"Cultural Resource Management","21 - 30 years",1
"Medical Interpreter -(Spanish)","21 - 30 years",1
Culture,"2 - 4 years",1
Warehouse,"21 - 30 years",1
"Pharmaceutical R&D","5-7 years",1
"Libraries and Archives","2 - 4 years",1
Compliance,"11 - 20 years",1
"Wholesale Distribution B2B","41 years or more",1
Ecommerce,"21 - 30 years",1
"Sourcing & Procurement","5-7 years",1
"Professional Association","5-7 years",1
"Public/Research Library","21 - 30 years",1
"Academia - STEM","2 - 4 years",1
"Scientific research (industry)","11 - 20 years",1
"Pharma research","21 - 30 years",1
"Environmental Restoration","21 - 30 years",1
"Government Affairs/Lobbying","21 - 30 years",1
"Child and Youth Care","2 - 4 years",1
Biotech/Pharma,"21 - 30 years",1
Pharmaceutical/biotechnology,"11 - 20 years",1
"Virtual Assisting","11 - 20 years",1
"museums & archives (not sure where this would fall)","5-7 years",1
"Archaeology/Cultural Resource Manager","11 - 20 years",1
"Food and Beverage","8 - 10 years",1
"Architecture & Construction","21 - 30 years",1
Software,"8 - 10 years",1
Libraries,"31 - 40 years",2
"Consumer food products","11 - 20 years",1
"Veterinary care","5-7 years",1
Warehouse,"8 - 10 years",1
"Rural electrification","5-7 years",1
"Online learning","21 - 30 years",1
Psychologist,"8 - 10 years",1
Veterinary,"5-7 years",2
"International Development","5-7 years",1
Biopharmaceuticals,"5-7 years",1
Aviation,"11 - 20 years",1
"Pharma/ Research","11 - 20 years",1
Environmental,"21 - 30 years",1
Environmental,"1 year or less",2
"Environmental Consulting","31 - 40 years",1
environmental,"11 - 20 years",2
"Public health (not medical)","5-7 years",1
"Environmental compliance","8 - 10 years",1
Environment,"1 year or less",1
"Environmental health and safety","1 year or less",1
"Sailing Instructor","2 - 4 years",1
"Environmental Consulting","1 year or less",2
"Environmental Consultanting","2 - 4 years",1
"environmental compliance","1 year or less",1
Construction,"5-7 years",1
"Politics/Government Relations","11 - 20 years",1
"Book publishing","21 - 30 years",1
"Commercial Real Estate","8 - 10 years",1
"Env. Consulting","5-7 years",1
"Food Industry","8 - 10 years",1
"Architecture, Engineering, Construction","11 - 20 years",1
Landscaping,"2 - 4 years",1
"Animal care","5-7 years",1
Zoo,"11 - 20 years",1
Zoo,"21 - 30 years",1
"Hybrid Nonprofit Higher Education (we are part of a university but our entire budget comes from grants)","11 - 20 years",1
"Pharmaceutical Development","21 - 30 years",1
