Industry,Gender,Highest_Level_of_Education_Completed,Average_Salary
Mining,Woman,"College degree",135846.66666666666
"Utilities & Telecommunications",Man,"High School",99447.22222222222
"Recruitment or HR",Woman,"Unknown level of education",84333.33333333333
"Life science capability development",Woman,"Master's degree",50000
"Public library",Man,"Professional degree (MD, JD, etc.)",40000
"Retail pharmacy",Woman,"Master's degree",102924
Fitness,Woman,"College degree",48916.666666666664
"Marketing, Advertising & PR",Man,"Some college",87686.18181818182
"Consumer Good (Toys)",Woman,"College degree",125120
Museum,Woman,"College degree",27300
"Music, education",Woman,"Master's degree",100000
"Mining/Mineral Exploration",Woman,"College degree",65000
"Biotechnology, Research and Development",Woman,"College degree",129200
"Academic Scientific Research",Woman,"College degree",35600
Biopharma,Woman,"College degree",103000
library,Woman,"Some college",40769
"Marketing, Advertising & PR",Woman,"High School",76674.5
Law,unknown,"Professional degree (MD, JD, etc.)",128357.14285714286
Sales,Non-binary,"Some college",40600
"Biomedical Research",Woman,PhD,67142.5
Entertainment,"Other or prefer not to answer","College degree",88623.71428571429
"Health care",Non-binary,"Some college",61600
"Arts, Culture and Heritage",Woman,"College degree",19948.14
"Corporate Learning and Development",Woman,"Master's degree",80000
Translation,Man,"Master's degree",34488
Cannabis,Woman,"College degree",69533.33333333333
"Govtech Software as a Service",Woman,"College degree",60171
Biology/Research,Non-binary,"Master's degree",40000
Entertainment,Woman,"Professional degree (MD, JD, etc.)",124900
"For profit education",Woman,"College degree",66000
Publishing,Non-binary,"College degree",51500
"Saas company/software",Woman,"College degree",217600
"Transport or Logistics","Other or prefer not to answer","Some college",33000
"Beauty /CPG",Woman,"Master's degree",131000
"Education (Primary/Secondary)",Woman,"High School",95461.528
"Environment, health, and safety",Woman,"College degree",70000
"Clean Energy (eg. energy efficiency, renewables, etc.)",Man,"Master's degree",200000
"Energy: oil & gas",Man,PhD,75000
Biotech/pharmaceuticals,Woman,PhD,123000
Entertainment,Woman,"Some college",128315.38461538461
"Environmental Health + Pest Control",Woman,"College degree",57900
"Veterinary medicine",Woman,"Professional degree (MD, JD, etc.)",126600
Zoo,Woman,"College degree",59000
"Legal Services",Woman,"Master's degree",98500
"Food & Beverage",Woman,"Master's degree",450000
"Leisure, Sport & Tourism",Woman,"Professional degree (MD, JD, etc.)",215000
"Research & Development",Man,PhD,56810
"Political Campaigns",Woman,"Professional degree (MD, JD, etc.)",78000
Museum,Woman,"Master's degree",82881.16666666667
"Automotive Repair",Woman,"High School",50000
"Community Foundation",Woman,"Master's degree",84000
"Medical research",Woman,"High School",126480
"Cultural Resources Management/Major Univ.",Woman,"Master's degree",30000
"Utilities & Telecommunications","Other or prefer not to answer","Master's degree",79900
"Scientific research",Woman,"Master's degree",64055.9812
Veterinarian,Woman,"Professional degree (MD, JD, etc.)",78000
"Education (Higher Education)","Other or prefer not to answer","Professional degree (MD, JD, etc.)",65386
"Leisure, Sport & Tourism",Man,"College degree",78901
"Education (Primary/Secondary)",Man,"Some college",38194.5
"public health",Woman,"College degree",87000
chemistry,Non-binary,"College degree",41766
Actuarial,Woman,"College degree",35834
"Librarian in legal setting",Woman,"Master's degree",78000
Procurement,Woman,"College degree",43500
"Academic research (social science)",Woman,"Master's degree",45000
Manufacturing/Wholesale,Woman,"College degree",58212
"Media & Digital",Woman,"Professional degree (MD, JD, etc.)",97268.22222222222
"Government Affairs/Lobbying",Woman,"Master's degree",130000
"Education (Higher Education)",Man,"High School",60125
"Telecommunications (GPS)",Woman,"College degree",84500
"Food demos",Woman,"College degree",27000
"Education services (tutoring)",Man,"Master's degree",100000
"wholesale distribution",Man,"High School",100006
Pharma,Woman,"College degree",106500
Environmental,Woman,"High School",65062.4
Politics,Man,"Master's degree",90000
"Tourism/Heritage -- but for a government building",Woman,"College degree",113118
"Academic publishing",Woman,PhD,40800
Scientist,Man,"College degree",125000
"Trade Association",Woman,"Professional degree (MD, JD, etc.)",83000
"Accounting, Banking & Finance",Man,"High School",92427.1925
"Corporate accounting in death care (funeral & cemetery)",Woman,"Master's degree",103000
"Academic science",Woman,PhD,50000
Retail,Non-binary,"Some college",39825.386666666665
"Legal services",Woman,"Some college",13653
"Biotech manufacturing",Woman,"College degree",92000
"Government Contracting",Woman,"Some college",130800
"Bioscience Company",Woman,"College degree",47500
Fintech,Woman,"College degree",103750
"Environmental Consulting",Woman,"College degree",70640
"Physical sciences",Man,PhD,103000
translation,Woman,"Master's degree",272145.2
"Science/Research (Academia)",Woman,"College degree",38784
"municipal (public) libraries",Woman,"Master's degree",66000
"Policy research",Woman,"Master's degree",82000
"Museum (University Affiliated)",Woman,"Master's degree",40
"Biomedical Research",Woman,"College degree",66250
"Libraries (Medical)",Woman,"Master's degree",92000
"Industrial Cleaning & Non Hazardous Transport",Woman,"Some college",55000
"Quality Assurance Laboratory",Woman,"College degree",87720
"Business or Consulting",Non-binary,"Master's degree",130040
Tourism,Woman,"Master's degree",20800
"Engineering - Mining",Man,"College degree",172720
"Computing or Tech","Other or prefer not to answer","Professional degree (MD, JD, etc.)",100000
"Customer Service",Man,"College degree",41600
"Accounting, Banking & Finance","Other or prefer not to answer","Master's degree",95771.42857142857
"Administration, IT",Woman,"College degree",55324.2
"not-for-profit membership organization",Woman,"College degree",104720
"Biotech industry",unknown,"Master's degree",292740
"Instructional Design, Aviation Industry",Woman,"Master's degree",52000
"UX Research",Woman,"College degree",82000
"Media & Digital",Woman,"High School",345329
"Behavioural Health",Man,"Professional degree (MD, JD, etc.)",53560
"Health Research",Woman,"Master's degree",61000
Philanthropy,Woman,"College degree",77385.71428571429
"Marketing, Advertising & PR","Other or prefer not to answer","College degree",102948800
"Scientific Research",Man,"College degree",43500
Sales,Man,"Unknown level of education",151866.66666666666
"Sales Operations",Woman,"College degree",96000
"Accounting, Banking & Finance","Other or prefer not to answer","Professional degree (MD, JD, etc.)",174940
Immigration,Woman,"College degree",58480
Fundraising,Woman,"Master's degree",125000
Automotive,Woman,"College degree",104340
Translation,Woman,"College degree",105232
"Government and Public Administration",Non-binary,"Professional degree (MD, JD, etc.)",78175
"Accounting, Banking & Finance",unknown,"College degree",96000
"public library",Woman,"Professional degree (MD, JD, etc.)",67500
"Research - Public Health",Woman,"Master's degree",76000
"Academic research",Woman,"Master's degree",58406.666666666664
"Office Administration",Woman,"College degree",41000
Entertainment,Non-binary,"High School",17047.8
defence,Woman,"Master's degree",129666.66666666667
"Science/research non-academic",Woman,PhD,76000
Insurance,Woman,"Unknown level of education",87500
Philanthropy,Woman,PhD,65000
"Emergency Management",Woman,"Master's degree",76000
"Science research",Woman,PhD,56348
Nonprofits,Man,"Unknown level of education",54557.94
"State and federal contractor",Woman,"College degree",75000
Architecture,"Other or prefer not to answer","College degree",48880
"Service and repair",Woman,"Some college",51000
Pharma,Woman,PhD,115666.66666666667
"Restaurant/Food Service",Woman,"College degree",35360
"Publishing (book)",Woman,"College degree",77030.4
"Nuclear research",Man,"College degree",122000
"Accounting, Banking & Finance",Man,"Professional degree (MD, JD, etc.)",123803.46363636364
"Scientific R&D",Woman,"Master's degree",55500
defence,Woman,PhD,86953
"Science (Research, Biology)",Woman,PhD,55000
Retail,Non-binary,"High School",28939.68
"Research science",Man,"Master's degree",81600
"Environmental Science",Woman,"Master's degree",98940
"Computing or Tech",Man,"Unknown level of education",313733.5366
"Recruitment or HR",Woman,PhD,114183.75
Technology,Man,"College degree",58000
"Government and Public Administration",Non-binary,PhD,88741.59999999999
"Education (Higher Education)",Man,"Professional degree (MD, JD, etc.)",104150
"Art & Design",Man,"Master's degree",79708
Chemistry,Non-binary,"Master's degree",70000
"Mental health",Woman,PhD,30000
"Accounting, Banking & Finance",Non-binary,"Some college",60375
Entertainment,Man,"Some college",64930
Pet,Woman,"College degree",53000
"Engineering or Manufacturing",Woman,"Unknown level of education",41620
"mental health",Woman,"Master's degree",47039.5
"student paid intern in computing",Woman,"Some college",54400
"Paid student intern in Tech",Woman,"Some college",54400
"Marketing, Advertising & PR","Other or prefer not to answer","Master's degree",234160
Pharmaceuticals,Man,PhD,121000
Security,Woman,"College degree",85000
Consulting,Non-binary,"Master's degree",92000
Retail,Woman,"Professional degree (MD, JD, etc.)",258136247.468
"Public Library (might be considered Government, but that always seems an odd designation...)",Woman,"Master's degree",65000
"Religious institute",Woman,"College degree",32000
"Daycare for children under 5 years old",Woman,"College degree",7380
"Oil & Gas - Non Destructive Testing",Woman,"College degree",59000
Gaming,Non-binary,"College degree",140000
"Renewable Energy",Non-binary,"College degree",71077
Politics,Non-binary,"College degree",64000
"Environmental Consulting",Woman,"Master's degree",58575
"Wholesale supplier",Man,"College degree",76147
"Law Enforcement & Security",Woman,"Professional degree (MD, JD, etc.)",84200
Politics/Campaigns,Woman,"Master's degree",69000
"Commercial furniture",Woman,"High School",40000
"Academic science",Woman,"Master's degree",37000
"Global Mobility",Woman,"College degree",57500
"Transport or Logistics",Man,"Some college",62981.25
Archives,Woman,"Master's degree",57000
"Scientific publishing",Woman,PhD,47970
Restaurant/Service,Woman,"College degree",107000
"Pharmaceutical Manufacturing",Woman,"College degree",76251
Politics/campaigns,Woman,"Professional degree (MD, JD, etc.)",72000
Compliance,Woman,"Professional degree (MD, JD, etc.)",97500
"Library Page (Public county library)",Woman,"College degree",38480
"Government contractor",Woman,"Some college",70000
"Law Enforcement & Security",Man,"College degree",75250
"University tech transfer (higher ed/marketing/writing)",Woman,"College degree",36000
"Urban Planning",Woman,"Master's degree",98971.12
"Biotech / Pharmaceutical Industry",Woman,"Master's degree",160000
"Health care",unknown,"Unknown level of education",2194000
"Industry unknown",Woman,PhD,80333.33333333333
"Agriculture or Forestry","Prefer not to answer",PhD,88000
"Entrepreneur high net worth",Woman,"High School",33948
"Fundraising for a university",Woman,"Master's degree",100440
"Energy (oil & gas & associated products, renewable power, etc)",Woman,"Master's degree",253300
"Architecture / Engineering",Woman,"College degree",62860
"Government contracting (data analytics and program evaluations)",Woman,"Master's degree",86000
"Research at a National Laboratory",Woman,PhD,90000
"Computing or Tech",Non-binary,PhD,137480
"Bio tech",Woman,"College degree",107250
"Cultural Heritage",Woman,"Master's degree",60500
"Consumer Goods",Woman,"College degree",124330
Wholesale/Distribution,Woman,"College degree",37500
"Engineering or Manufacturing",unknown,"Unknown level of education",75000
"music therapy",Woman,"College degree",56000
"Biotech/Food Safety",Man,"College degree",66089
Nonprofits,Man,PhD,86020
"Marketing technology",Non-binary,"College degree",71500
Science,Woman,"Master's degree",58084
"State-level public transportation agency",Man,"Master's degree",116000
"Real World Evidence (data for pharma research)",Man,"Master's degree",181290
Sales,Woman,PhD,69356.66666666667
"International development",Woman,"Unknown level of education",845000
"Early Childhood Education",Woman,"College degree",36000
"public libraries",unknown,"Master's degree",61157
Architect,Woman,"College degree",95250
"Children's Book Wholesale",Woman,"Master's degree",55000
"Public safety",Woman,"High School",35360
"Engineering or Manufacturing","Other or prefer not to answer","Master's degree",77424.83333333333
"Consumer Packaged Goods",Woman,"College degree",106648.33333333333
"Biological Sciences",Woman,"College degree",78000
"Hospitality & Events",Man,"Master's degree",103750
"Library/Archive/Research Center",Woman,"Master's degree",85000
"Training and Professional Services",Woman,"College degree",68700
"Science academia",Woman,PhD,59000
"Biotech research",Woman,"Master's degree",80250
"Science and research",Woman,PhD,29520
Energy,Man,"Professional degree (MD, JD, etc.)",251600
"Property or Construction",Woman,"Professional degree (MD, JD, etc.)",67443.33333333333
"Government contracting",Woman,"College degree",95500
"Landed Estate",Woman,"Master's degree",28782
"My company sells & services various types of printers, mostly Kyocera.",Woman,"Some college",35000
"Medical Sciences",Woman,PhD,30258
"Research science",Woman,PhD,42165
Entertainment,Non-binary,"Some college",15498
Apparel,Woman,"Master's degree",125000
"Public Libraries",Woman,"College degree",57023
Mortgage,Woman,"High School",49000
Software/programming,Woman,"Some college",190000
defence,Woman,"High School",24354
"Energy - Oil and Gas",Woman,"Master's degree",150000
"Scientific Research",Woman,"College degree",30755.2
Airline,Woman,"College degree",80000
"Research & Development (defence Industry)",Woman,"Some college",90000
"Religious (church)",Woman,"College degree",49500
"Direct support  professional  in a group  home",Man,"College degree",32280
"Commercial Real Estate - Private Equity",Woman,"Master's degree",72000
Psychology,Woman,PhD,120000
Libraries,Woman,"College degree",46867
Insurance,Man,"High School",93243.75
Finance,Woman,"Professional degree (MD, JD, etc.)",129000
"Biotechnology/Life Sciences",Woman,"Master's degree",84000
Library/Archive,Man,"College degree",40000
Libraries,Man,"Master's degree",59091.333333333336
"Organized Labor",Woman,"Master's degree",105500
e-learning,Woman,"Master's degree",47000
"Real Estate/ Mortgage",Woman,"Some college",47008
"Computing or Tech",unknown,"Unknown level of education",108457.375
Fundraising,Woman,"College degree",67500
Entertainment,Woman,"Unknown level of education",83530
"Engineering or Manufacturing","Other or prefer not to answer","High School",43465.8
"Industry unknown",Woman,"Unknown level of education",33463
Distribution,Woman,"College degree",95000
"Program management",Woman,"Master's degree",83000
"Big Pharma",Woman,PhD,220000
"Oil and gas",Woman,"Some college",34686
"Automotive repair",Woman,"Master's degree",31200
Insurance,Man,PhD,108865.71428571429
"Wine Importing/Distribution",Woman,"Master's degree",24354
"Education (Primary/Secondary)",Man,PhD,110354.33333333333
"Social Work",Non-binary,"Master's degree",54157.142857142855
"Laboratory research",Woman,"College degree",48000
Aerospace/Aviation,Woman,"Master's degree",90000
"Health care","Other or prefer not to answer","Master's degree",207371.48
"I work for Indeed.com",Woman,"College degree",68000
Libraries,unknown,"Master's degree",53000
"Archives/Library Science",Woman,"Master's degree",52500
Geospatial,Man,"Master's degree",88007
"Waste and recycling",Non-binary,"College degree",37000
"Health care",Man,"Unknown level of education",96428
"Trade Association",Woman,"Master's degree",111000
"Health care",Man,"Professional degree (MD, JD, etc.)",181108.92
"Public Library (Non-profit, but also government?)",Woman,"Master's degree",62000
"Customer service/publishing-adjacent",Woman,PhD,64500
"Food/Beverage Manufacturing- Quality/Laboratory",Woman,"College degree",52500
"Computing or Tech",unknown,PhD,245000
Academia,Woman,PhD,18222.133333333335
IT,Woman,"College degree",68175
"consumer products",Woman,"Some college",147000
"Transport or Logistics",Woman,"Professional degree (MD, JD, etc.)",130000
"Leisure, Sport & Tourism",Woman,PhD,42000
Library--public,Woman,"Master's degree",81916
"Veterinary services",Woman,"College degree",45000
"Wherever I'm assigned via the union",Woman,"Some college",72800
Sales,Woman,"Professional degree (MD, JD, etc.)",94933.33333333333
"Computing or Tech",Man,"Professional degree (MD, JD, etc.)",273533.3333333333
Student,Woman,"Master's degree",57800
"Agriculture or Forestry","Other or prefer not to answer","College degree",90528
"Engineering and Environmental Consulting",Woman,"Master's degree",75000
Restaurant,Non-binary,"Some college",55000
Communications/publications,Woman,"College degree",50211.2
Food,Woman,"Master's degree",41078
Faith/spirituality,Woman,"Master's degree",97920
"awards and engraving",Woman,"High School",35000
Biotechnology,Non-binary,"College degree",49000
"Engineering or Manufacturing",unknown,"Master's degree",93462.66666666667
Funeral,Woman,"Some college",56500
"Utilities & Telecommunications",Non-binary,"Some college",29689
"Political Consulting",Woman,"College degree",65000
"Business or Consulting",Woman,"Unknown level of education",105750
"Library/Information management",Woman,"College degree",17464.77
"Learning and Development",Man,"College degree",62000
Publishing,unknown,"Unknown level of education",65000
"Data Analytics",Man,"College degree",55000
"Luxury Fashion",Woman,"Master's degree",68000
Clergy,Woman,"Professional degree (MD, JD, etc.)",108150
"Data Entry",Woman,"Some college",31000
Translation,"Other or prefer not to answer","College degree",75000
"Business or Consulting",Non-binary,"Some college",24000
"Education (Higher Education)",unknown,"College degree",63200
"Wholesale and retail trade",Woman,"Some college",18450
E-commerce,Woman,"Professional degree (MD, JD, etc.)",36900
"Food processing",Woman,"College degree",62000
"auto repair",Non-binary,"Master's degree",31200
"Marketing, Advertising & PR",Non-binary,"Unknown level of education",100000
"Architectural/Land Planning/Civil Engineering",Woman,"College degree",53500
"Gaming (Gambling)",Man,"Master's degree",72000
Retail,Man,"Master's degree",141817.10454545452
"Regulatory Affairs- nutraceuticals",Woman,"College degree",70980
"Manufacturing : corporate admin support",Woman,"College degree",70000
"Real Estate Investment Support",Woman,"High School",63000
"Government relations",Woman,"Master's degree",68000
"Household Services",Non-binary,"Master's degree",62400
"Education (Higher Education)",Man,"Some college",61777.26
Library,Woman,PhD,76400
"Professional training",Woman,"Master's degree",20976
"Veterinary medicine",Non-binary,"College degree",34000
Software,Man,"College degree",180000
Veterinary,Woman,"College degree",46592.555555555555
"Contract Research",Woman,PhD,105000
"Grocery Distribution",Non-binary,"College degree",52532
Publishing,Woman,PhD,58344
Law,"Other or prefer not to answer","Professional degree (MD, JD, etc.)",138500
"Tailoring Service",Woman,"College degree",35360
"veterinary biotech",Woman,"Master's degree",89000
"Social Work",Woman,"High School",34600.13333333333
Biotech/Pharma,Woman,"Master's degree",141000
"Small business/service company",Woman,"High School",41000
"Information services (library)",Woman,"College degree",35172
"Accounting, Banking & Finance",Non-binary,"Master's degree",44125
"Education (Higher Education)",Non-binary,"Unknown level of education",73000
"Stay-at-home parent",Woman,"Master's degree",0
"Real estate software",Woman,"Master's degree",114000
Construction,Woman,"High School",178640
"Commercial Building Material Distribution",Man,"Some college",400000
"Consumer Product Organization",Woman,"Master's degree",85000
Nonprofits,unknown,"Unknown level of education",64250
"Child care",Woman,"College degree",40700
Manufacturing,Woman,"Professional degree (MD, JD, etc.)",82770
"Research and Development, Food and Beverage",Woman,"Master's degree",50000
"IT Security",Woman,"College degree",43680
"FinTech/Payment Processing",Woman,"College degree",58500
"Lobbying and consulting",Woman,"College degree",75000
Chaplain,Woman,"Professional degree (MD, JD, etc.)",40000
"Science and Natural Resource Management",Woman,"Master's degree",130560
"Scientific Research",Woman,"Some college",31200
Food,Woman,"Some college",130000
"Mental health therapist",Woman,"Master's degree",73611
Caregiver,Woman,"College degree",33280
"Education (Primary/Secondary)",Non-binary,"Master's degree",67797.73333333334
"Food Service --- Baking",Woman,"Some college",35350
Law,"Other or prefer not to answer","College degree",98437.33333333333
Nonprofits,Non-binary,"Professional degree (MD, JD, etc.)",62833.333333333336
Manufacturing,Woman,"High School",46669
Museum,Woman,PhD,56000
"Computing or Tech",unknown,"College degree",108211.11111111111
"Publishing (academic)",Woman,PhD,52000
"Media & Digital","Other or prefer not to answer","College degree",85090
"Labor Union",Woman,"College degree",129000
"Professional Public Librarian",Woman,"Master's degree",34500
"Cancer research, not for profit",Woman,"Some college",71700
"Wholesale Trade",Woman,"Master's degree",50000
"Science publishing",Woman,PhD,103000
Archives,Woman,PhD,29757.636
"Industry unknown",Woman,"Professional degree (MD, JD, etc.)",50000
Entertainment,Non-binary,"College degree",73539705.71428572
Biotech,Woman,"High School",107000
Theatre,Woman,"College degree",14760
"medical research",Woman,"College degree",75630
restoration,Woman,"College degree",184000
"Hospitality & Events",Man,"High School",59226.666666666664
"IT MSP",Woman,"Some college",60000
"Not for profit education consultancy",Woman,"Master's degree",27084.6
"Media & Digital",Non-binary,"Professional degree (MD, JD, etc.)",92000
"Professional regulation",Woman,"College degree",40590
Geologist,Woman,PhD,353600
"Social Work",Non-binary,"Professional degree (MD, JD, etc.)",72000
manufacturing,Woman,"Some college",63250
"Scientific analysis",Woman,"Master's degree",70000
"Low-Voltage Equipment",Man,"College degree",45000
Science,Man,PhD,89259.68266666667
"Public library",Non-binary,"Master's degree",118320
"Architecture and engineering consulting and design",Woman,"Master's degree",101000
Law,Non-binary,"Professional degree (MD, JD, etc.)",88437.5
"oceanography research",Non-binary,"College degree",45000
"Clinical & Translational Research",Woman,"College degree",76000
Law,"Other or prefer not to answer","Master's degree",59900
Finance,Woman,"College degree",113746.66666666667
"Agriculture or Forestry",Non-binary,PhD,500000
"Food Distribution",Woman,"Master's degree",45000
"Construction, HVAC",Woman,"College degree",62400
Clergy,Woman,"College degree",42000
"Recruitment or HR","Other or prefer not to answer","Master's degree",110000
"Veterinary Diagnostics",Woman,"College degree",44000
"Education: preschool",Woman,"Professional degree (MD, JD, etc.)",100000
"Customer service/call center",Non-binary,"College degree",40000
Pharma/biotech,Woman,PhD,175000
Sales,Woman,"High School",78427.5
"Nonprofit scholarly society publisher",Woman,"Master's degree",111000
"Medical Device",Woman,PhD,130000
"Animal Caretaker",Woman,"Some college",72800
"Environmental health and safety compliance",Woman,"Some college",48000
"Environment - Oil and Gas",Woman,"College degree",169728
"Accounting, Banking & Finance",unknown,"Unknown level of education",167950
"Food manufacturing",Woman,"College degree",70000
Beauty,Woman,"College degree",89000
Sales,Non-binary,"College degree",35250
Unions,Man,"Professional degree (MD, JD, etc.)",80000
"Libraries (public)",Woman,"Master's degree",42000
"Consumer goods",Woman,"Master's degree",142950
Law,Non-binary,"College degree",48720
"Energy Supplier",Woman,"Master's degree",73000
"Food & Beverages",Woman,"Master's degree",55000
"Property or Construction",Non-binary,"College degree",95380
"Life Sciences",Woman,"Master's degree",134400
"Manufacturing, Chemical",Woman,"Some college",67000
"digital marketing within a book publishing company (please reclassify as you see fit)",Woman,"College degree",50000
"Pharmaceutical/Contract Research Organization",Woman,"College degree",124000
"Social Work",Man,"Master's degree",75680.6
"Recruitment or HR",unknown,"Master's degree",67600
"Business or Consulting","Other or prefer not to answer","Professional degree (MD, JD, etc.)",195300
"Law Enforcement & Security",Woman,"Some college",101766.66666666667
Beverage,Woman,"Master's degree",67000
"Agriculture or Forestry",Woman,"High School",98260
"Science Research, government",Woman,PhD,131000
"Engineering or Manufacturing",Non-binary,"Some college",36594
"Health and fitness",Woman,"College degree",43680
"Commercial Real Estate",Woman,"College degree",80888.33333333333
"Real Estate/Development",Woman,"College degree",65000
Science/government,Woman,PhD,110500
Museums,Woman,PhD,62000
"Real estate: title & escrow",Non-binary,"High School",38563
"Think tank",Woman,"Master's degree",73140
"Family Office",Woman,"College degree",122500
"Marketing, Advertising & PR",Woman,"Professional degree (MD, JD, etc.)",55090
Translation,Non-binary,"College degree",47600
"Media & Digital",Non-binary,"Some college",63750
"Environmental Sciences",Woman,"College degree",68000
"Human Capital Management",Woman,"College degree",108000
"Educational publishing / ed tech",Man,PhD,124000
"cultural (museums/galleries)",Woman,"Master's degree",54400
"Property or Construction",Man,"High School",55575
Retail,"Other or prefer not to answer","College degree",66750.42857142857
"Museums & archives",Woman,"Master's degree",43680
"Oil and gas",Man,PhD,218834
"Shared office space",Woman,"College degree",48000
"Beverage Production",Man,"College degree",52600
Consulting,Man,"Master's degree",155000
"Political consulting",Woman,"Some college",48000
Energy,Man,PhD,265000
"social science research - not quite academia, not quite nonprofit, not quite consulting",Woman,"Master's degree",91000
Biotech/pharmaceuticals,Woman,"Some college",222000
Library,Man,"Master's degree",50596
"Real Estate Development",Woman,"College degree",68000
"Business or Consulting",Man,"Professional degree (MD, JD, etc.)",164029.02566666665
"In-House Marketing",Woman,"College degree",97920
"Trade association",Woman,"College degree",121500
"Life sciences (not in academia)",Woman,PhD,111000
"Professional services",Woman,"College degree",79196.25
"individual & family services",Woman,"Master's degree",108800
"Medical Technology",Woman,"Master's degree",133000
Mortgage,Woman,"College degree",50000
"Agriculture or Forestry","Other or prefer not to answer","Some college",26000
Pharmaceutical,Woman,PhD,131605.2
Sales,Man,"Some college",96358.33333333333
"Outdoor industry/repair and maintenance",Woman,"Some college",37000
"Transport or Logistics",Non-binary,"Some college",37155.992
"National laboratory",Woman,PhD,115000
"Health care",Unknown,"Professional degree (MD, JD, etc.)",134966.66666666666
Insurance,Non-binary,"Master's degree",58036.8
"Analytical lab",Woman,"College degree",30368
"Food manufacturing",Woman,"Some college",47000
Insurance,"Other or prefer not to answer","Some college",34000
"STEM medical research",Woman,"College degree",40000
"Non profit theatre",Woman,"Master's degree",78250
Biotech,Man,"Master's degree",65000
"Animal health industry",Woman,"College degree",127000
"Environmental compliance",Woman,"Master's degree",81000
"Disability services",Woman,"High School",64680
"Recruitment or HR",Man,"Some college",74860
"Libraries / Archives / Information",Woman,"Master's degree",51000
Analytics,Woman,"Master's degree",162000
Travel,Woman,"Master's degree",145000
"Executive Leadership Servis",Woman,"College degree",88000
"Corporate Travel Industry",Woman,"College degree",91000
Entertainment,Woman,PhD,101225
"Aerospace & defence",Woman,"College degree",128000
"Drug development",Man,"Master's degree",147000
Telecommunications,Woman,"College degree",93167
E-commerce,Woman,"Master's degree",50083.333333333336
Gyms,Woman,"Master's degree",60000
"Auction House",Woman,"Master's degree",20000
"Labor Union",Woman,"Some college",98000
"government contractor, international development",Woman,"Master's degree",135000
Biotechnology,Man,"Master's degree",108800
Energy,Man,"Some college",107000
"Oil and gas",Woman,"College degree",80060
"Horticulture (Admin)",Woman,"High School",77924
Apparel,Woman,"College degree",77500
"Industry unknown",Man,"College degree",24054400
"Energy, Oil & Gas",Woman,"Master's degree",130000
"Social Work",Man,"College degree",65400
"Scientific Research",Man,"Master's degree",180000
Library,Woman,"High School",20200
"Summer camp",Woman,"College degree",52000
"Environmental Consulting","Other or prefer not to answer","Master's degree",89000
Energy,Man,"Master's degree",132999
"Food distribution",Woman,"College degree",69305.6
Publishing,Man,"College degree",120350
Counselling,Woman,"Master's degree",89300
"Administration (food service)",Woman,"College degree",29120
"CBD Manufacturing",Woman,"College degree",60000
"Social Work","Other or prefer not to answer","College degree",90000
Archives,Woman,"College degree",132303.52
"Brain research",Woman,"College degree",28000
Wine,Woman,"College degree",72000
"Engineering or Manufacturing",Non-binary,PhD,52363
"Libraries (Public)",Non-binary,"Master's degree",46000
"Protective coatings",Man,"Some college",56000
"Media & Digital",Man,"Professional degree (MD, JD, etc.)",119980
"Marketing, Advertising & PR",Man,PhD,185000
Libraries,Non-binary,"Some college",18720
"Leisure, Sport & Tourism",Man,"Master's degree",52105
"Social Work",Woman,"Some college",40817.700000000004
"Engineering or Manufacturing",Man,"Professional degree (MD, JD, etc.)",87568.66666666667
Translation,Woman,"Some college",6992
"Biotech (R&D)",Woman,PhD,556200
"Science (Chemistry R&D)",Woman,"College degree",189420
"Production and Manufacturing",Woman,"College degree",65000
"Global Health Consulting",Woman,"Master's degree",140000
"Law Enforcement & Security",Non-binary,"College degree",38000
Security,Woman,"Some college",50000
"Research Institute",Woman,"Master's degree",26220
"Mining & Mineral Processing",Man,"College degree",74800
"Museum Library",Man,"Master's degree",22787.226
Library,Non-binary,"College degree",37000
"Art & Design",Woman,"Professional degree (MD, JD, etc.)",56703.333333333336
Pharmaceutical,Man,PhD,136940
"Online education startup (non-technical role)",Woman,"Master's degree",34785.2
"Academic Science",Non-binary,PhD,29757.636
"Recruitment or HR",Woman,"High School",64822.4
"Private investigator at large firm",Woman,"College degree",56000
"Social Work",Non-binary,"College degree",19273.608
"Research & Development",Woman,"Master's degree",72000
ECommerce,Woman,"College degree",83920
Consultant,Man,"College degree",60000
"Accounting, Banking & Finance","Other or prefer not to answer","Unknown level of education",26.22
"Computing or Tech",Unknown,"High School",295000
Chemical,Woman,PhD,89760
"Aerospace and defence Manufacturing",Woman,"College degree",60000
"Executive search",Woman,"Master's degree",95000
Biotech,Man,"Some college",225000
"Nonprofit - LORT D Theatre",Woman,"College degree",43000
"Research Institute",Woman,"College degree",28044
"Agriculture or Forestry",Man,PhD,76475
"Health care",Non-binary,PhD,220000
"Research and Development",Man,PhD,113000
Concrete,Woman,"College degree",44000
"Animal Health",Woman,"College degree",72000
"clinical trials research coordination",Woman,"Master's degree",44000
AmeriCorps,Woman,"Master's degree",15400
"Law Library",Woman,"College degree",55760
Vet,Man,"College degree",70000
"wholesale distribution",Woman,"Master's degree",100000
Communications,Woman,"Master's degree",20110.74
Manufacturing,Man,"College degree",101800
"Property or Construction","Other or prefer not to answer","Master's degree",117333.33333333333
Printing,Man,"College degree",40000
"Construction admin",Woman,"Some college",51680
"Life Sciences",Woman,PhD,74446
"Computing or Tech",Unknown,"Master's degree",191233.33333333334
"Virtual reality",Woman,"College degree",55000
